date,ym,papua_new_guinea_rnz_body_count,papua_new_guinea_rnz_epu_count,papua_new_guinea_rnz_ratio,papua_new_guinea_png_business_news_body_count,papua_new_guinea_png_business_news_epu_count,papua_new_guinea_png_business_news_ratio,papua_new_guinea_wantok_body_count,papua_new_guinea_wantok_epu_count,papua_new_guinea_wantok_ratio,papua_new_guinea_abc_au_body_count,papua_new_guinea_abc_au_epu_count,papua_new_guinea_abc_au_ratio,papua_new_guinea_post_courier_body_count,papua_new_guinea_post_courier_epu_count,papua_new_guinea_post_courier_ratio,news_total,papua_new_guinea_rnz_weights,papua_new_guinea_png_business_news_weights,papua_new_guinea_wantok_weights,papua_new_guinea_abc_au_weights,papua_new_guinea_post_courier_weights,papua_new_guinea_rnz_z_score,papua_new_guinea_png_business_news_z_score,papua_new_guinea_wantok_z_score,papua_new_guinea_abc_au_z_score,papua_new_guinea_post_courier_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2017-09-01,2017-9,89,1.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.058823529411764705,867.0,0.0,0.0,973.0,0.09146968139773895,0.0,0.0,0.017471736896197326,0.8910585817060637,1.4560798243238793,0.0,,1.078795115769517,0.0,0.6337187350233491,0.1520355820482087,81.13491629406668,217.166335147437,81.13491629406668
2017-10-01,2017-10,91,1.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,364.0,0.0,0.0,478.0,0.1903765690376569,0.0,0.0,0.04811715481171548,0.7615062761506276,1.4240780699431348,0.0,,0.0,0.0,0.3560195174857837,0.2711110969975424,144.68044825397084,122.00279016604718,144.68044825397084
2017-11-01,2017-11,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.02857142857142857,626.0,0.0,0.0,784.0,0.1568877551020408,0.0,0.0,0.044642857142857144,0.798469387755102,0.0,0.0,,0.5239861990880511,0.0,0.13099654977201278,0.02339224103071657,12.483442970317373,44.89064163441323,12.483442970317373
2017-12-01,2017-12,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,394.0,0.0,0.0,477.0,0.13836477987421383,0.0,0.0,0.03563941299790356,0.8259958071278826,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,2018-1,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,302.0,0.0,0.0,399.0,0.17794486215538846,0.0,0.0,0.06516290726817042,0.7568922305764411,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,2018-2,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,525.0,0.0,0.0,604.0,0.10264900662251655,0.0,0.0,0.028145695364238412,0.8692052980132451,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,2018-3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.05555555555555555,580.0,0.0,0.0,698.0,0.14326647564469913,0.0,0.0,0.025787965616045846,0.830945558739255,0.0,0.0,,1.0188620537823216,0.0,0.2547155134455804,0.026274379610432365,14.021517605628683,87.28735873358129,14.021517605628683
2018-04-01,2018-4,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.047619047619047616,431.0,0.0,0.0,538.0,0.15985130111524162,0.0,0.0,0.03903345724907063,0.8011152416356877,0.0,0.0,,0.8733103318134185,0.0,0.21832758295335464,0.034088321502010764,18.191485666782196,74.81773605735539,18.191485666782196
2018-05-01,2018-5,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,443.0,0.0,0.0,561.0,0.18538324420677363,0.0,0.0,0.024955436720142603,0.7896613190730838,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,2018-6,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,411.0,0.0,0.0,506.0,0.15217391304347827,0.0,0.0,0.03557312252964427,0.8122529644268774,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,2018-7,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,373.0,0.0,0.0,471.0,0.1910828025477707,0.0,0.0,0.016985138004246284,0.7919320594479831,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,2018-8,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,574.0,0.0,0.0,690.0,0.15217391304347827,0.0,0.0,0.015942028985507246,0.8318840579710145,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,2018-9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,352.0,0.0,0.0,410.0,0.12195121951219512,0.0,0.0,0.01951219512195122,0.8585365853658536,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,2018-10,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.125,477.0,0.0,0.0,585.0,0.17094017094017094,0.0,0.0,0.013675213675213675,0.8153846153846154,0.0,0.0,,2.2924396210102236,0.0,0.5731099052525559,0.031349601654840666,16.729947502100547,196.39655715055787,16.729947502100547
2018-11-01,2018-11,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.037037037037037035,478.0,0.0,0.0,635.0,0.2047244094488189,0.0,0.0,0.04251968503937008,0.752755905511811,0.0,0.0,,0.6792413691882144,0.0,0.1698103422970536,0.02888112908359337,15.412628801147749,58.19157248905419,15.412628801147749
2018-12-01,2018-12,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,258.0,0.0,0.0,333.0,0.21021021021021022,0.0,0.0,0.015015015015015015,0.7747747747747747,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,2019-1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,393.0,0.0,0.0,498.0,0.20080321285140562,0.0,0.0,0.010040160642570281,0.7891566265060241,0.0,0.0,,3.667903393616358,0.0,0.9169758484040895,0.03682633929333693,19.65264917415426,314.2344914408926,19.65264917415426
2019-02-01,2019-2,101,3.0,0.0297029702970297,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.07142857142857142,286.0,0.0,0.0,401.0,0.2518703241895262,0.0,0.0,0.034912718204488775,0.713216957605985,3.849240723707681,0.0,,1.3099654977201278,0.0,1.2898015553569522,1.0152439652432859,541.7924740272395,441.9965220596061,541.7924740272395
