date,ym,papua_new_guinea_rnz_body_count,papua_new_guinea_rnz_epu_count,papua_new_guinea_rnz_ratio,papua_new_guinea_png_business_news_body_count,papua_new_guinea_png_business_news_epu_count,papua_new_guinea_png_business_news_ratio,papua_new_guinea_wantok_body_count,papua_new_guinea_wantok_epu_count,papua_new_guinea_wantok_ratio,papua_new_guinea_abc_au_body_count,papua_new_guinea_abc_au_epu_count,papua_new_guinea_abc_au_ratio,papua_new_guinea_post_courier_body_count,papua_new_guinea_post_courier_epu_count,papua_new_guinea_post_courier_ratio,news_total,papua_new_guinea_rnz_weights,papua_new_guinea_png_business_news_weights,papua_new_guinea_wantok_weights,papua_new_guinea_abc_au_weights,papua_new_guinea_post_courier_weights,papua_new_guinea_rnz_z_score,papua_new_guinea_png_business_news_z_score,papua_new_guinea_wantok_z_score,papua_new_guinea_abc_au_z_score,papua_new_guinea_post_courier_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2017-03-01,2017-3,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.05555555555555555,560.0,0.0,0.0,705.0,0.18014184397163122,0.0,0.0,0.02553191489361702,0.7943262411347518,0.0,0.0,0.0,0.6164320173512874,0.0,0.12328640347025747,0.01573868980471372,2.6091513875350048,23.61927676873164
2017-04-01,2017-4,102,1.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,392.0,0.0,0.0,515.0,0.19805825242718447,0.0,0.0,0.040776699029126215,0.7611650485436893,0.8288023450078392,0.0,0.0,0.0,0.0,0.16576046900156785,0.16415114405980505,27.212886879619735,31.75648152967096
2017-05-01,2017-5,92,1.0,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.1111111111111111,1022.0,0.0,0.0,1132.0,0.0812720848056537,0.0,0.0,0.015901060070671377,0.9028268551236749,0.9188895564217348,0.0,0.0,1.2328640347025748,0.0,0.43035071822486193,0.09428391503131267,15.63033586521954,82.44682653775065
2017-06-01,2017-6,98,1.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,890.0,2.0,0.0022471910112359553,1006.0,0.09741550695825049,0.0,0.0,0.017892644135188866,0.8846918489065606,0.8626310121510162,0.0,0.0,0.0,1.1084064833907254,0.39420749910834835,1.0646318184975598,176.49408056920217,75.52248880385127
2017-07-01,2017-7,104,1.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,583.0,0.0,0.0,703.0,0.14793741109530584,0.0,0.0,0.02275960170697013,0.829302987197724,0.8128638383730731,0.0,0.0,0.0,0.0,0.16257276767461462,0.12025297182190556,19.93547189616524,31.14577996179267
2017-08-01,2017-8,135,1.0,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.043478260869565216,808.0,2.0,0.0024752475247524753,966.0,0.13975155279503104,0.0,0.0,0.023809523809523808,0.8364389233954451,0.6262062162281452,0.0,0.0,0.48242505705752925,1.2208932799724574,0.46590491065162637,1.1202022626510026,185.70651840665587,89.25831821549339
2017-09-01,2017-9,89,1.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.058823529411764705,867.0,0.0,0.0,973.0,0.09146968139773895,0.0,0.0,0.017471736896197326,0.8910585817060637,0.9498633616943775,0.0,0.0,0.6526927242543042,0.0,0.32051121718973635,0.09828737461780346,16.29402720577219,61.403714709819916
2017-10-01,2017-10,91,1.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,364.0,2.0,0.005494505494505495,478.0,0.1903765690376569,0.0,0.0,0.04811715481171548,0.7615062761506276,0.9289872438549407,0.0,0.0,0.0,2.710114753345455,0.727820399440079,2.2406267979258265,371.4498850473166,139.43623115302597
2017-11-01,2017-11,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.02857142857142857,626.0,2.0,0.003194888178913738,784.0,0.1568877551020408,0.0,0.0,0.044642857142857144,0.798469387755102,0.0,0.0,0.0,0.3170221803520906,1.5758494731912867,0.3785743307086754,1.2724203399618224,210.94114800743034,72.52747783094101
2017-12-01,2017-12,66,1.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.058823529411764705,394.0,2.0,0.005076142131979695,477.0,0.13836477987421383,0.0,0.0,0.03563941299790356,0.8259958071278826,1.2808763513757515,0.0,0.0,0.6526927242543042,2.503760838116105,0.8874659827492323,2.268585714299514,376.0848989115923,170.02121952925165
2018-01-01,2018-1,71,1.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,302.0,0.0,0.0,399.0,0.17794486215538846,0.0,0.0,0.06516290726817042,0.7568922305764411,1.1906737914197127,0.0,0.0,0.0,0.0,0.23813475828394254,0.21187428368621453,35.124402864672085,45.621987549668134
2018-02-01,2018-2,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,525.0,4.0,0.007619047619047619,604.0,0.10264900662251655,0.0,0.0,0.028145695364238412,0.8692052980132451,0.0,0.0,0.0,0.0,3.7580257913056974,0.7516051582611395,3.2664959278733297,541.5179083099775,143.99292828798363
2018-03-01,2018-3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.05555555555555555,580.0,0.0,0.0,698.0,0.14326647564469913,0.0,0.0,0.025787965616045846,0.830945558739255,0.0,0.0,0.0,0.6164320173512874,0.0,0.12328640347025747,0.015896527668084776,2.6353176621950984,23.61927676873164
2018-04-01,2018-4,86,2.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.047619047619047616,431.0,0.0,0.0,538.0,0.15985130111524162,0.0,0.0,0.03903345724907063,0.8011152416356877,1.9659962602511534,0.0,0.0,0.5283703005868178,0.0,0.49887331216759423,0.3348911797284802,55.51807660635781,95.57442265288314
2018-05-01,2018-5,104,1.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,443.0,0.0,0.0,561.0,0.18538324420677363,0.0,0.0,0.024955436720142603,0.7896613190730838,0.8128638383730731,0.0,0.0,0.0,0.0,0.16257276767461462,0.15069133545597077,24.981527171130416,31.14577996179267
2018-06-01,2018-6,77,3.0,0.03896103896103896,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.05555555555555555,411.0,0.0,0.0,506.0,0.15217391304347827,0.0,0.0,0.03557312252964427,0.8122529644268774,3.2936820463947893,0.0,0.0,0.6164320173512874,0.0,0.7820228127492154,0.5231408970053794,86.72601177317127,149.82035921132012
2018-07-01,2018-7,90,2.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.125,373.0,0.0,0.0,471.0,0.1910828025477707,0.0,0.0,0.016985138004246284,0.7919320594479831,1.8786186486844356,0.0,0.0,1.3869720390403966,0.0,0.6531181375449664,0.38252962780025984,63.415552471805746,125.12473086356702
2018-08-01,2018-8,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,574.0,2.0,0.003484320557491289,690.0,0.15217391304347827,0.0,0.0,0.015942028985507246,0.8318840579710145,0.0,0.0,0.0,0.0,1.7186093557800444,0.3437218711560089,1.4296837249532544,237.01218595596114,65.85042452194374
2018-09-01,2018-9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,352.0,0.0,0.0,410.0,0.12195121951219512,0.0,0.0,0.01951219512195122,0.8585365853658536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,2018-10,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.125,477.0,0.0,0.0,585.0,0.17094017094017094,0.0,0.0,0.013675213675213675,0.8153846153846154,0.0,0.0,0.0,1.3869720390403966,0.0,0.27739440780807934,0.018967138995424227,3.1443619285678266,53.1433727296462
2018-11-01,2018-11,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,0.07407407407407407,478.0,0.0,0.0,635.0,0.2047244094488189,0.0,0.0,0.04251968503937008,0.752755905511811,0.0,0.0,0.0,0.8219093564683831,0.0,0.16438187129367662,0.034947326967947,5.793548750274578,31.49236902497552
