date,ym,cambodia_khmer_times_body_count,cambodia_khmer_times_epu_count,cambodia_khmer_times_ratio,cambodia_kampuchea_thmey_daily_body_count,cambodia_kampuchea_thmey_daily_epu_count,cambodia_kampuchea_thmey_daily_ratio,news_total,cambodia_khmer_times_weights,cambodia_kampuchea_thmey_daily_weights,cambodia_khmer_times_z_score,cambodia_kampuchea_thmey_daily_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2018-09-01,2018-9,407.0,2.0,0.004914004914004914,0.0,0.0,0.0,407.0,1.0,0.0,0.8421437817685821,,0.8421437817685821,0.8421437817685821,95.15224700047533,109.6802858600321,95.15224700047533
2018-10-01,2018-10,328.0,0.0,0.0,0.0,0.0,0.0,328.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-11-01,2018-11,364.0,2.0,0.005494505494505495,0.0,0.0,0.0,364.0,1.0,0.0,0.941627799944541,,0.941627799944541,0.941627799944541,106.39275969558643,122.63702292591503,106.39275969558643
2018-12-01,2018-12,390.0,0.0,0.0,0.0,0.0,0.0,390.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-01-01,2019-1,384.0,1.0,0.0026041666666666665,0.0,0.0,0.0,384.0,1.0,0.0,0.44629234268204804,,0.44629234268204804,0.44629234268204804,50.42573506405398,58.12483899092847,50.42573506405398
2019-02-01,2019-2,339.0,0.0,0.0,0.0,0.0,0.0,339.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-03-01,2019-3,351.0,1.0,0.002849002849002849,0.0,0.0,0.0,351.0,1.0,0.0,0.4882514518230953,,0.4882514518230953,0.4882514518230953,55.16661613845222,63.58956744306705,55.16661613845222
2019-04-01,2019-4,296.0,0.0,0.0,0.0,0.0,0.0,296.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-05-01,2019-5,399.0,2.0,0.005012531328320802,0.0,0.0,0.0,399.0,1.0,0.0,0.8590288701248443,,0.8590288701248443,0.8590288701248443,97.06006147667533,111.87938933592247,97.06006147667533
2019-06-01,2019-6,399.0,1.0,0.002506265664160401,0.0,0.0,0.0,399.0,1.0,0.0,0.42951443506242215,,0.42951443506242215,0.42951443506242215,48.530030738337665,55.939694667961234,48.530030738337665
2019-07-01,2019-7,421.0,0.0,0.0,0.0,0.0,0.0,421.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-08-01,2019-8,347.0,4.0,0.011527377521613832,0.0,0.0,0.0,347.0,1.0,0.0,1.9755188425349446,,1.9755188425349446,1.9755188425349446,223.21017019708043,257.2903535736776,223.21017019708043
2019-09-01,2019-9,290.0,3.0,0.010344827586206896,0.0,0.0,0.0,290.0,1.0,0.0,1.7728578578266185,,1.7728578578266185,1.7728578578266185,200.31188549582825,230.8959121294814,200.31188549582825
2019-10-01,2019-10,333.0,1.0,0.003003003003003003,0.0,0.0,0.0,333.0,1.0,0.0,0.5146434221919113,,0.5146434221919113,0.5146434221919113,58.14859538917937,67.02684135890851,58.14859538917937
2019-11-01,2019-11,232.0,1.0,0.004310344827586207,0.0,0.0,0.0,232.0,1.0,0.0,0.7386907740944243,,0.7386907740944243,0.7386907740944243,83.46328562326175,96.20663005395056,83.46328562326175
2019-12-01,2019-12,297.0,2.0,0.006734006734006734,0.0,0.0,0.0,297.0,1.0,0.0,1.1540488861273162,,1.1540488861273162,1.1540488861273162,130.39381996361433,150.30261395634028,130.39381996361433
2020-01-01,2020-1,382.0,0.0,0.0,0.0,0.0,0.0,382.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-01,2020-2,401.0,2.0,0.004987531172069825,0.0,0.0,0.0,401.0,1.0,0.0,0.8547444368573888,,0.8547444368573888,0.8547444368573888,96.5759713944974,111.32138739409741,96.5759713944974
2020-03-01,2020-3,487.0,3.0,0.006160164271047228,0.0,0.0,0.0,487.0,1.0,0.0,1.0557059112314566,,1.0557059112314566,1.0557059112314566,119.28223160942544,137.4944856623195,119.28223160942544
2020-04-01,2020-4,499.0,7.0,0.014028056112224449,0.0,0.0,0.0,499.0,1.0,0.0,2.404075785830351,,2.404075785830351,2.404075785830351,271.63201573582586,313.1053451054424,271.63201573582586
2020-05-01,2020-5,387.0,6.0,0.015503875968992248,0.0,0.0,0.0,387.0,1.0,0.0,2.656996272711728,,2.656996272711728,2.656996272711728,300.2090273580888,346.04555306227184,300.2090273580888
2020-06-01,2020-6,433.0,3.0,0.006928406466512702,5.0,0.0,0.0,438.0,0.9885844748858448,0.01141552511415525,1.1873643851494673,,1.1873643851494673,1.17380999719114,132.62659085340223,154.64160396662726,132.62659085340223
2020-07-01,2020-7,436.0,10.0,0.022935779816513763,0.0,0.0,0.0,436.0,1.0,0.0,3.9306481557317996,,3.9306481557317996,3.9306481557317996,444.11656570175984,511.92518744303976,444.11656570175984
2020-08-01,2020-8,383.0,5.0,0.013054830287206266,10.0,0.0,0.0,393.0,0.9745547073791349,0.02544529262086514,2.237287984202434,,2.237287984202434,2.1803595367672575,246.35473619079806,291.3830048631401,246.35473619079806
2020-09-01,2020-9,390.0,1.0,0.002564102564102564,6.0,0.0,0.0,396.0,0.9848484848484849,0.015151515151515152,0.43942630664078575,,0.43942630664078575,0.43276833229774353,48.89768248635537,57.23061069876034,48.89768248635537
2020-10-01,2020-10,452.0,8.0,0.017699115044247787,273.0,0.0,0.0,725.0,0.623448275862069,0.37655172413793103,3.0332081343346275,,3.0332081343346275,1.8910483816817265,213.66601119555014,395.04315349586784,213.66601119555014
2020-11-01,2020-11,410.0,5.0,0.012195121951219513,912.0,0.0,0.0,1322.0,0.3101361573373676,0.6898638426626323,2.089954385242762,,2.089954385242762,0.6481704220495705,73.23556075868657,272.1943679575187,73.23556075868657
2020-12-01,2020-12,485.0,5.0,0.010309278350515464,1225.0,0.0,0.0,1710.0,0.28362573099415206,0.716374269005848,1.7667655627825407,,1.7667655627825407,0.5011001742394926,56.618369194727286,230.10245538676838,56.618369194727286
2021-01-01,2021-1,479.0,6.0,0.012526096033402923,1037.0,0.0,0.0,1516.0,0.3159630606860158,0.6840369393139841,2.146675485468557,,2.146675485468557,0.6782701566882842,76.63647334273112,279.5816890085579,76.63647334273112
2021-02-01,2021-2,498.0,6.0,0.012048192771084338,1019.0,0.0,0.0,1517.0,0.32827949901120634,0.6717205009887937,2.0647742119265837,,2.0647742119265837,0.6778230438625173,76.58595490282161,268.91491774116304,76.58595490282161
2021-03-01,2021-3,747.0,3.0,0.004016064257028112,1422.0,0.0,0.0,2169.0,0.34439834024896265,0.6556016597510373,0.6882580706421945,,0.6882580706421945,0.23703493719212507,26.782133146053564,89.638305913721,26.782133146053564
2021-04-01,2021-4,1045.0,12.0,0.011483253588516746,1322.0,0.0,0.0,2367.0,0.44148711449091677,0.5585128855090832,1.9679570479223707,,1.9679570479223707,0.8688276785293102,98.16721046690355,256.3055101150224,98.16721046690355
2021-05-01,2021-5,1033.0,6.0,0.005808325266214908,1075.0,0.0,0.0,2108.0,0.49003795066413663,0.5099620493358634,0.9954090586054586,,0.9954090586054586,0.4877882151515364,55.11427589543661,129.6414608277824,55.11427589543661
2021-06-01,2021-6,1246.0,10.0,0.008025682182985553,1335.0,0.0,0.0,2581.0,0.4827586206896552,0.5172413793103449,1.3754113931774192,,1.3754113931774192,0.663991707051168,75.02317808832518,179.13273011650506,75.02317808832518
2021-07-01,2021-7,1415.0,7.0,0.0049469964664310955,1338.0,0.0,0.0,2753.0,0.5139847439157283,0.4860152560842717,0.8477977506214454,,0.8477977506214454,0.43575510974549414,49.23515287038762,110.41665527039981,49.23515287038762
2021-08-01,2021-8,1258.0,3.0,0.0023847376788553257,1296.0,0.0,0.0,2554.0,0.4925606891151135,0.5074393108848865,0.40868742350534126,,0.40868742350534126,0.20130335895447113,22.744889112682138,53.22719754972146,22.744889112682138
2021-09-01,2021-9,1106.0,7.0,0.006329113924050633,1279.0,0.0,0.0,2385.0,0.46373165618448636,0.5362683438155136,1.0846598708221926,,1.0846598708221926,0.5029911182932264,56.832023418103596,141.2654314716236,56.832023418103596
2021-10-01,2021-10,1009.0,5.0,0.004955401387512388,939.0,0.0,0.0,1948.0,0.5179671457905544,0.4820328542094456,0.8492381545585057,,0.8492381545585057,0.4398774630131069,49.700929837260595,110.60425258927916,49.700929837260595
2021-11-01,2021-11,1041.0,12.0,0.011527377521613832,835.0,0.0,0.0,1876.0,0.5549040511727079,0.4450959488272921,1.9755188425349446,,1.9755188425349446,1.0962234088906595,123.86022770530955,257.2903535736776,123.86022770530955
2021-12-01,2021-12,1026.0,10.0,0.009746588693957114,857.0,0.0,0.0,1883.0,0.544875199150292,0.4551248008497079,1.6703339141316418,,1.6703339141316418,0.9101235241099651,102.83315063513928,217.54325704207147,102.83315063513928
2022-01-01,2022-1,1029.0,5.0,0.004859086491739553,711.0,0.0,0.0,1740.0,0.5913793103448276,0.4086206896551724,0.8327320679781655,,0.8327320679781655,0.4924605160629496,55.64219041550785,108.4545100705371,55.64219041550785
2022-02-01,2022-2,952.0,5.0,0.005252100840336135,633.0,0.0,0.0,1585.0,0.6006309148264984,0.39936908517350156,0.9000853970058112,,0.9000853970058112,0.5406191154255725,61.08354026686666,117.22656603212465,61.08354026686666
2022-03-01,2022-3,1098.0,3.0,0.00273224043715847,716.0,0.0,0.0,1814.0,0.6052921719955898,0.3947078280044101,0.4682411464205094,,0.4682411464205094,0.28342270053457513,32.02339955556239,60.98343762982659,32.02339955556239
2022-04-01,2022-4,996.0,2.0,0.002008032128514056,573.0,0.0,0.0,1569.0,0.6347992351816444,0.3652007648183556,0.34412903532109723,,0.34412903532109723,0.21845284842562962,24.682577775139233,44.8191529568605,24.682577775139233
2022-05-01,2022-5,1065.0,3.0,0.0028169014084507044,585.0,0.0,0.0,1650.0,0.6454545454545455,0.35454545454545455,0.482750027013821,,0.482750027013821,0.3115931992543754,35.206331390175876,62.87306527469446,35.206331390175876
2022-06-01,2022-6,1077.0,4.0,0.003714020427112349,536.0,0.0,0.0,1613.0,0.6676999380037197,0.3323000619962802,0.6364949288390211,,0.6364949288390211,0.42498762452549643,48.018554902905706,82.89670630461107,48.018554902905706
2022-07-01,2022-7,1018.0,8.0,0.007858546168958742,587.0,0.0,0.0,1605.0,0.6342679127725857,0.36573208722741435,1.3467682482507382,,1.3467682482507382,0.8542118858063872,96.51579944970331,175.4022646170258,96.51579944970331
2022-08-01,2022-8,1100.0,6.0,0.005454545454545455,726.0,0.0,0.0,1826.0,0.6024096385542169,0.39759036144578314,0.9347795977631261,,0.9347795977631261,0.5631202396163411,63.62590010272748,121.74511730463564,63.62590010272748
2022-09-01,2022-9,1027.0,4.0,0.0038948393378773127,647.0,0.0,0.0,1674.0,0.6135005973715651,0.3864994026284349,0.6674829974290417,,0.6674829974290417,0.40950121765807995,46.26877482579864,86.93257321330685,46.26877482579864
2022-10-01,2022-10,1034.0,6.0,0.005802707930367505,714.0,0.0,0.0,1748.0,0.5915331807780321,0.408466819221968,0.9944463805990703,,0.9944463805990703,0.5882480306289696,66.46504209815812,129.5160822389741,66.46504209815812
2022-11-01,2022-11,956.0,1.0,0.0010460251046025104,650.0,0.0,0.0,1606.0,0.5952677459526775,0.40473225404732255,0.17926386986391887,,0.17926386986391887,0.1067099997446491,12.05696280485475,23.347215661628173,12.05696280485475
2022-12-01,2022-12,936.0,9.0,0.009615384615384616,604.0,0.0,0.0,1540.0,0.6077922077922078,0.3922077922077922,1.6478486499029468,,1.6478486499029468,1.001549569031921,113.16320803985103,214.6147901203513,113.16320803985103
2023-01-01,2023-1,992.0,3.0,0.0030241935483870967,600.0,0.0,0.0,1592.0,0.6231155778894473,0.3768844221105528,0.5182749785985074,,0.5182749785985074,0.32294521279504984,36.48897411670238,67.49981302172338,36.48897411670238
2023-02-01,2023-2,1012.0,4.0,0.003952569169960474,611.0,0.0,0.0,1623.0,0.6235366605052373,0.3764633394947628,0.6773765201182073,,0.6773765201182073,0.4223690932591656,47.722691964502104,88.22109949611277,47.722691964502104
