date,ym,cambodia_khmer_times_body_count,cambodia_khmer_times_epu_count,cambodia_khmer_times_ratio,cambodia_kampuchea_thmey_daily_body_count,cambodia_kampuchea_thmey_daily_epu_count,cambodia_kampuchea_thmey_daily_ratio,news_total,cambodia_khmer_times_weights,cambodia_kampuchea_thmey_daily_weights,cambodia_khmer_times_z_score,cambodia_kampuchea_thmey_daily_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2019-06-01,2019-6,399.0,3.0,0.007518796992481203,0.0,0.0,0.0,399.0,1.0,0.0,0.8932481365526196,,0.8932481365526196,0.8932481365526196,90.42215717835047,102.72444253391062,90.42215717835047
2019-07-01,2019-7,421.0,2.0,0.004750593824228029,0.0,0.0,0.0,421.0,1.0,0.0,0.5643800577743393,,0.5643800577743393,0.5643800577743393,57.13133921482478,64.90427960574877,57.13133921482478
2019-08-01,2019-8,347.0,2.0,0.005763688760806916,0.0,0.0,0.0,347.0,1.0,0.0,0.6847377646195874,,0.6847377646195874,0.6847377646195874,69.31496775055109,78.74553808074994,69.31496775055109
2019-09-01,2019-9,290.0,4.0,0.013793103448275862,0.0,0.0,0.0,290.0,1.0,0.0,1.63864830567584,,1.63864830567584,1.63864830567584,165.87788834097398,188.44621871738087,165.87788834097398
2019-10-01,2019-10,333.0,1.0,0.003003003003003003,0.0,0.0,0.0,333.0,1.0,0.0,0.356762769253749,,0.356762769253749,0.356762769253749,36.11455526943128,41.028080651682025,36.11455526943128
2019-11-01,2019-11,232.0,2.0,0.008620689655172414,0.0,0.0,0.0,232.0,1.0,0.0,1.0241551910474,,1.0241551910474,1.0241551910474,103.67368021310874,117.77888669836304,103.67368021310874
2019-12-01,2019-12,297.0,2.0,0.006734006734006734,0.0,0.0,0.0,297.0,1.0,0.0,0.8000134825690128,,0.8000134825690128,0.8000134825690128,80.98415424054285,92.00236267346878,80.98415424054285
2020-01-01,2020-1,382.0,0.0,0.0,0.0,0.0,0.0,382.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-01,2020-2,401.0,6.0,0.014962593516209476,0.0,0.0,0.0,401.0,1.0,0.0,1.7775860672543402,,1.7775860672543402,1.7775860672543402,179.94234770155532,204.4242023492785,179.94234770155532
2020-03-01,2020-3,487.0,8.0,0.01642710472279261,0.0,0.0,0.0,487.0,1.0,0.0,1.951572930784368,,1.951572930784368,1.951572930784368,197.5547746155337,224.43286828764047,197.5547746155337
2020-04-01,2020-4,499.0,14.0,0.028056112224448898,0.0,0.0,0.0,499.0,1.0,0.0,3.33312230513222,,3.33312230513222,3.33312230513222,337.40692718655026,383.31244889407134,337.40692718655026
2020-05-01,2020-5,387.0,7.0,0.01808785529715762,0.0,0.0,0.0,387.0,1.0,0.0,2.14887342410979,,2.14887342410979,2.14887342410979,217.52720499494646,247.12262532059634,217.52720499494646
2020-06-01,2020-6,433.0,7.0,0.016166281755196306,5.0,0.0,0.0,438.0,0.9885844748858448,0.01141552511415525,1.9205866400242237,,1.9205866400242237,1.8986621350011161,192.19869482430204,220.8694133927732,192.19869482430204
2020-07-01,2020-7,436.0,12.0,0.027522935779816515,0.0,0.0,0.0,436.0,1.0,0.0,3.269779876004544,,3.269779876004544,3.269779876004544,330.99486893726464,376.0280052388105,330.99486893726464
2020-08-01,2020-8,383.0,4.0,0.010443864229765013,10.0,0.0,0.0,393.0,0.9745547073791349,0.02544529262086514,1.2407519807989391,,1.2407519807989391,1.209180683577592,122.40353083685103,142.6877374100273,122.40353083685103
2020-09-01,2020-9,390.0,3.0,0.007692307692307693,6.0,0.0,0.0,396.0,0.9848484848484849,0.015151515151515152,0.9138615550884494,,0.9138615550884494,0.9000151678901396,91.10717352061071,105.09500659238549,91.10717352061071
2020-10-01,2020-10,452.0,11.0,0.024336283185840708,273.0,0.0,0.0,725.0,0.623448275862069,0.37655172413793103,2.891199167647085,,2.891199167647085,1.802513136243424,182.46567717507136,332.4908394405116,182.46567717507136
2020-11-01,2020-11,410.0,10.0,0.024390243902439025,912.0,0.0,0.0,1322.0,0.3101361573373676,0.6898638426626323,2.8976098088170343,,2.8976098088170343,0.8986535715695794,90.96934118548118,333.2280696831735,90.96934118548118
