date,ym,cambodia_khmer_times_body_count,cambodia_khmer_times_epu_count,cambodia_khmer_times_ratio,cambodia_kampuchea_thmey_daily_body_count,cambodia_kampuchea_thmey_daily_epu_count,cambodia_kampuchea_thmey_daily_ratio,news_total,cambodia_khmer_times_weights,cambodia_kampuchea_thmey_daily_weights,cambodia_khmer_times_z_score,cambodia_kampuchea_thmey_daily_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2021-05-01,2021-5,1033.0,23.0,0.022265246853823813,1075.0,4.0,0.0037209302325581397,2108.0,0.49003795066413663,0.5099620493358634,1.5017205319710984,1.67124587778313,1.5864832048771143,1.5881720247357731,117.8810278031579,252.96977431980204
2021-06-01,2021-6,1246.0,22.0,0.01765650080256822,1335.0,10.0,0.00749063670411985,2581.0,0.4827586206896552,0.5172413793103449,1.1908751765501846,3.3643994730652897,2.277637324807737,2.3151118816442047,171.83766231679206,363.1764888955128
2021-07-01,2021-7,1415.0,23.0,0.01625441696113074,1338.0,9.0,0.006726457399103139,2753.0,0.5139847439157283,0.4860152560842717,1.0963090526686536,3.0211703788400195,2.058739715754337,2.031821023034541,150.81058397765423,328.2725714817309
2021-08-01,2021-8,1258.0,17.0,0.013513513513513514,1296.0,6.0,0.004629629629629629,2554.0,0.4925606891151135,0.5074393108848865,0.9114437776299325,2.079385785436186,1.4954147815330594,1.5041034652246486,111.64109406376902,238.44862563686328
2021-09-01,2021-9,1106.0,22.0,0.019891500904159132,1279.0,6.0,0.004691164972634871,2385.0,0.46373165618448636,0.5362683438155136,1.3416188697843852,2.1070242204263465,1.724321545105366,1.7520815295206822,130.04710338553465,274.9485344560354
2021-10-01,2021-10,1009.0,34.0,0.03369672943508424,939.0,4.0,0.004259850905218318,1948.0,0.5179671457905544,0.4820328542094456,2.2727379033864317,1.913300658803903,2.0930192810951675,2.0994773424711366,155.83232995249065,333.7385568015834
2021-11-01,2021-11,1041.0,42.0,0.040345821325648415,835.0,6.0,0.00718562874251497,1876.0,0.5549040511727079,0.4450959488272921,2.7211981372467147,3.2274059615871824,2.9743020494169485,2.9465091891253343,218.7027137084416,474.26188684941684
2021-12-01,2021-12,1026.0,26.0,0.025341130604288498,857.0,3.0,0.003500583430571762,1883.0,0.544875199150292,0.4551248008497079,1.7091791697465788,1.5722777000731023,1.6407284349098405,1.6468719156254052,122.2379887382646,261.61934814265726
2022-01-01,2022-1,1029.0,46.0,0.04470359572400389,711.0,4.0,0.005625879043600563,1740.0,0.5913793103448276,0.4086206896551724,3.0151162478642273,2.5268485493908086,2.7709823986275177,2.815599964177675,208.9860622718239,441.84192424479085
2022-02-01,2022-2,952.0,47.0,0.04936974789915966,633.0,2.0,0.00315955766192733,1585.0,0.6006309148264984,0.39936908517350156,3.329833464912715,1.419106886743179,2.374470175827947,2.5667483393724524,190.51521349370998,378.6167938379297
2022-03-01,2022-3,1098.0,16.0,0.014571948998178506,716.0,6.0,0.008379888268156424,1814.0,0.6052921719955898,0.3947078280044101,0.982831905932459,3.7638044384431524,2.3733181721878056,2.0805035339796785,154.4240114507934,378.4331032070007
2022-04-01,2022-4,996.0,12.0,0.012048192771084338,573.0,1.0,0.0017452006980802793,1569.0,0.6347992351816444,0.3652007648183556,0.8126125246339156,0.7838522332534315,0.7982323789436736,0.8021092442253641,59.53603302855756,127.28068228858483
2022-05-01,2022-5,1065.0,12.0,0.011267605633802818,585.0,3.0,0.005128205128205128,1650.0,0.6454545454545455,0.35454545454545455,0.7599643892350986,2.3033196392523907,1.5316420142437446,1.3071539778775931,97.02264742689509,244.22517269067393
2022-06-01,2022-6,1077.0,24.0,0.022284122562674095,536.0,1.0,0.0018656716417910447,1613.0,0.6676999380037197,0.3323000619962802,1.5029936388772143,0.8379614359220451,1.1704775373996297,1.2820033966056885,95.1558620132229,186.63635238755452
2022-07-01,2022-7,1018.0,18.0,0.01768172888015717,587.0,4.0,0.0068143100511073255,1605.0,0.6342679127725857,0.36573208722741435,1.1925767306513455,3.060629162890741,2.126602946771043,1.8757834457445075,139.2287970550921,339.0935787146681
2022-08-01,2022-8,1100.0,11.0,0.01,726.0,2.0,0.0027548209366391185,1826.0,0.6024096385542169,0.39759036144578314,0.67446839544615,1.2373204673669869,0.9558944314065685,0.8982529541616635,66.67223689538064,152.42039615868825
2022-09-01,2022-9,1027.0,15.0,0.014605647517039922,647.0,1.0,0.0015455950540958269,1674.0,0.6135005973715651,0.3864994026284349,0.985104764526996,0.6941998912739045,0.8396523279004502,0.8726702047929756,64.77337408792548,133.88522440269128
2022-10-01,2022-10,1034.0,20.0,0.019342359767891684,714.0,7.0,0.00980392156862745,1748.0,0.5915331807780321,0.408466819221968,1.304581035679207,4.403405192688394,2.8539931141838006,2.570347882420946,190.7823872176954,455.0782458874298
2022-11-01,2022-11,956.0,15.0,0.015690376569037656,650.0,2.0,0.003076923076923077,1606.0,0.5952677459526775,0.40473225404732255,1.0582663108464696,1.3819917835514344,1.2201290471989519,1.189288451106885,88.27415593989558,194.55344296245593
2022-12-01,2022-12,936.0,16.0,0.017094017094017096,604.0,2.0,0.0033112582781456954,1540.0,0.6077922077922078,0.3922077922077922,1.1529374281130769,1.487242813424557,1.320090120768817,1.2840546052092678,95.30811162766176,210.49255290323376
2023-01-01,2023-1,992.0,15.0,0.015120967741935484,600.0,3.0,0.005,1592.0,0.6231155778894473,0.3768844221105528,1.019861485049622,2.245736648271081,1.6327990666603516,1.4818747375200212,109.99118131643048,260.35498524842336
2023-02-01,2023-2,1012.0,16.0,0.015810276679841896,611.0,3.0,0.004909983633387889,1623.0,0.6235366605052373,0.3764633394947628,1.0663531943812647,2.2053060375820763,1.6358296159816705,1.4951271852596975,110.97483556554785,260.83821594101585
2023-03-01,2023-3,1039.0,20.0,0.019249278152069296,667.0,1.0,0.0014992503748125937,1706.0,0.6090269636576788,0.3909730363423212,1.2983029748722807,0.6733843023301592,0.9858436386012199,1.0539766240014747,78.23072424315434,157.1958921499457
2023-04-01,2023-4,921.0,10.0,0.010857763300760043,649.0,3.0,0.004622496147919877,1570.0,0.586624203821656,0.41337579617834397,0.7323218191597719,2.0761818011751134,1.4042518101674426,1.2878410091775787,95.58915498097022,223.9124009722795
