date,ym,china_daily_body_count,china_daily_epu_count,china_daily_ratio,china_caixin_global_body_count,china_caixin_global_epu_count,china_caixin_global_ratio,china_people_s_daily_online_body_count,china_people_s_daily_online_epu_count,china_people_s_daily_online_ratio,news_total,china_daily_weights,china_caixin_global_weights,china_people_s_daily_online_weights,china_daily_z_score,china_caixin_global_z_score,china_people_s_daily_online_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2020-05-01,2020-5,144.0,7.0,0.04861111111111111,39.0,5.0,0.1282051282051282,0.0,0.0,0.0,183.0,0.7868852459016393,0.21311475409836064,0.0,1.7351128763077077,2.035272971732786,,1.885192924020247,1.7990814212343638,149.718208238809,201.6961999611856
2020-06-01,2020-6,77.0,7.0,0.09090909090909091,52.0,4.0,0.07692307692307693,0.0,0.0,0.0,129.0,0.5968992248062015,0.40310077519379844,0.0,3.2448864180299988,1.2211637830396718,,2.233025100534835,2.4291222550881613,202.14973448799688,238.91065548630473
2020-07-01,2020-7,93.0,5.0,0.053763440860215055,62.0,2.0,0.03225806451612903,0.0,0.0,0.0,155.0,0.6,0.4,0.0,1.91901884937258,0.5121009412747011,,1.2155598953236404,1.3562516861334284,112.86624939378368,130.05237214085875
2020-08-01,2020-8,52.0,4.0,0.07692307692307693,39.0,3.0,0.07692307692307693,0.0,0.0,0.0,91.0,0.5714285714285714,0.42857142857142855,0.0,2.7456731229484608,1.2211637830396718,,1.9834184529940662,2.0923119772732655,174.1206354624155,212.20531851386266
2020-09-01,2020-9,64.0,3.0,0.046875,50.0,4.0,0.08,0.0,0.0,0.0,114.0,0.5614035087719298,0.43859649122807015,0.0,1.673144559296718,1.2700103343612588,,1.4715774468289884,1.496331302746078,124.52357015897498,157.4436097187488
2020-10-01,2020-10,89.0,6.0,0.06741573033707865,50.0,3.0,0.06,0.0,0.0,0.0,139.0,0.6402877697841727,0.3597122302158273,0.0,2.406320265055954,0.952507750770944,,1.679414007913449,1.8833661232268137,156.7323180035542,179.67997823552682
2020-11-01,2020-11,84.0,3.0,0.03571428571428571,41.0,4.0,0.0975609756097561,0.0,0.0,0.0,125.0,0.672,0.328,0.0,1.2747768070832137,1.5487930906844618,,1.4117849488838377,1.3646541481044232,113.56549598498518,151.04642910764952
2020-12-01,2020-12,77.0,4.0,0.05194805194805195,59.0,2.0,0.03389830508474576,0.0,0.0,0.0,136.0,0.5661764705882353,0.4338235294117647,0.0,1.8542208103028566,0.538139972186974,,1.1961803912449152,1.283273976120231,106.7930990318335,127.97896507466015
2021-01-01,2021-1,84.0,4.0,0.047619047619047616,62.0,5.0,0.08064516129032258,0.0,0.0,0.0,146.0,0.5753424657534246,0.4246575342465753,0.0,1.699702409444285,1.2802523531867527,,1.4899773813155188,1.521579782814374,126.62472975740212,159.41221294135886
2021-02-01,2021-2,67.0,1.0,0.014925373134328358,49.0,6.0,0.12244897959183673,0.0,0.0,0.0,116.0,0.5775862068965517,0.4224137931034483,0.0,0.5327425462437311,1.9438933689202937,,1.2383179575820125,1.1288321178915894,93.94056327767088,132.48725008757037
2021-03-01,2021-3,123.0,6.0,0.04878048780487805,66.0,7.0,0.10606060606060606,0.0,0.0,0.0,189.0,0.6507936507936508,0.3492063492063492,0.0,1.7411585657721944,1.6837258220698506,,1.7124421939210226,1.721102687018995,143.2288763888669,183.2136535026356
2021-04-01,2021-4,89.0,1.0,0.011235955056179775,54.0,3.0,0.05555555555555555,0.0,0.0,0.0,143.0,0.6223776223776224,0.3776223776223776,0.0,0.4010533775093257,0.8819516210842073,,0.6415024992967665,0.5826513156424977,48.4878060416676,68.63415129833753
2021-05-01,2021-5,53.0,2.0,0.03773584905660377,67.0,4.0,0.05970149253731343,0.0,0.0,0.0,120.0,0.44166666666666665,0.5583333333333333,0.0,1.346933984842641,0.9477689062397453,,1.147351445541193,1.124066815956024,93.5439984201336,122.75477148096192
2021-06-01,2021-6,103.0,3.0,0.02912621359223301,89.0,3.0,0.033707865168539325,0.0,0.0,0.0,192.0,0.5364583333333334,0.4635416666666667,0.0,1.039623803834854,0.5351167139162607,,0.7873702588755573,0.8057637465288394,67.05505541339946,84.24049716831489
2021-07-01,2021-7,65.0,0.0,0.0,101.0,7.0,0.06930693069306931,0.0,0.0,0.0,166.0,0.39156626506024095,0.608433734939759,0.0,0.0,1.1002564777882193,,0.5501282388941097,0.6694331581723504,55.7097259714046,58.85804782231907
2021-08-01,2021-8,102.0,3.0,0.029411764705882353,78.0,5.0,0.0641025641025641,0.0,0.0,0.0,180.0,0.5666666666666667,0.43333333333333335,0.0,1.0498161940685289,1.017636485866393,,1.033726339967461,1.0358716538476034,86.2044630937422,110.59805705539677
2021-09-01,2021-9,81.0,3.0,0.037037037037037035,50.0,2.0,0.04,0.0,0.0,0.0,131.0,0.6183206106870229,0.3816793893129771,0.0,1.3219907629011105,0.6350051671806294,,0.9784979650408699,1.0597825202597055,88.19430748566597,104.68919053526899
2021-10-01,2021-10,78.0,2.0,0.02564102564102564,58.0,6.0,0.10344827586206896,0.0,0.0,0.0,136.0,0.5735294117647058,0.4264705882352941,0.0,0.9152243743161534,1.6422547427085241,,1.278739558512339,1.2252814431893704,101.96700388174217,136.81194449953966
2021-11-01,2021-11,99.0,4.0,0.04040404040404041,53.0,3.0,0.05660377358490566,0.0,0.0,0.0,152.0,0.6513157894736842,0.34868421052631576,0.0,1.4421717413466661,0.8985922177084378,,1.1703819795275519,1.2526341442885998,104.24327517815664,125.21880109243506
2021-12-01,2021-12,107.0,3.0,0.028037383177570093,54.0,0.0,0.0,0.0,0.0,0.0,161.0,0.6645962732919255,0.33540372670807456,0.0,1.0007593625699995,0.0,,0.5003796812849998,0.6651009428260246,55.34920225541205,53.53546523914796
2022-01-01,2022-1,63.0,3.0,0.047619047619047616,54.0,0.0,0.0,0.0,0.0,0.0,117.0,0.5384615384615384,0.46153846153846156,0.0,1.699702409444285,0.0,,0.8498512047221425,0.9152243743161534,76.16428686428496,90.92531397760051
2022-02-01,2022-2,43.0,1.0,0.023255813953488372,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0.46236559139784944,0.5376344086021505,0.0,0.8300872232169764,0.0,,0.4150436116084882,0.3838037698745159,31.939862233409816,44.40538589603746
2022-03-01,2022-3,112.0,7.0,0.0625,65.0,0.0,0.0,0.0,0.0,0.0,177.0,0.632768361581921,0.3672316384180791,0.0,2.230859412395624,0.0,,1.115429706197812,1.4116172553011859,117.47373058728697,119.33947459560066
2022-04-01,2022-4,72.0,6.0,0.08333333333333333,44.0,0.0,0.0,0.0,0.0,0.0,116.0,0.6206896551724138,0.3793103448275862,0.0,2.9744792165274987,0.0,,1.4872396082637493,1.8462284792239647,153.64175108829895,159.1192994608009
2022-05-01,2022-5,45.0,2.0,0.044444444444444446,48.0,0.0,0.0,0.0,0.0,0.0,93.0,0.4838709677419355,0.5161290322580645,0.0,1.5863889154813329,0.0,,0.7931944577406664,0.7676075397490321,63.87972446681965,84.86362637909382
