date,ym,china_daily_body_count,china_daily_epu_count,china_daily_ratio,china_caixin_global_body_count,china_caixin_global_epu_count,china_caixin_global_ratio,china_people_s_daily_online_body_count,china_people_s_daily_online_epu_count,china_people_s_daily_online_ratio,news_total,china_daily_weights,china_caixin_global_weights,china_people_s_daily_online_weights,china_daily_z_score,china_caixin_global_z_score,china_people_s_daily_online_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2018-02-01,2018-2,158.0,1.0,0.006329113924050633,31.0,0.0,0.0,0.0,0.0,0.0,189.0,0.8359788359788359,0.164021164021164,0.0,0.33684244651416323,0.0,,0.16842122325708161,0.28159315634517346,29.689579758547026,21.852430014164685,29.689579758547026
2018-03-01,2018-3,230.0,3.0,0.013043478260869565,49.0,5.0,0.10204081632653061,0.0,0.0,0.0,279.0,0.8243727598566308,0.17562724014336917,0.0,0.694188346294406,2.117951112682972,,1.406069729488689,0.9442398715741183,99.55527805489756,182.43567980613813,99.55527805489756
2018-04-01,2018-4,189.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,228.0,0.8289473684210527,0.17105263157894737,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-05-01,2018-5,149.0,1.0,0.006711409395973154,43.0,3.0,0.06976744186046512,0.0,0.0,0.0,192.0,0.7760416666666666,0.22395833333333334,0.0,0.3571886345586429,1.448087504950683,,0.902638069754663,0.6015045274068602,63.41921399425802,117.11609063262817,63.41921399425802
2018-06-01,2018-6,121.0,4.0,0.03305785123966942,28.0,1.0,0.03571428571428571,0.0,0.0,0.0,149.0,0.8120805369127517,0.18791946308724833,0.0,1.7593754231152992,0.7412828894390401,,1.2503291562771697,1.5680560208137204,165.32690247184973,162.22854729246595,165.32690247184973
2018-07-01,2018-7,182.0,8.0,0.04395604395604396,41.0,1.0,0.024390243902439025,0.0,0.0,0.0,223.0,0.8161434977578476,0.18385650224215247,0.0,2.3393892988675957,0.5062419732754421,,1.422815636071519,2.0023532434896665,211.11672989133262,184.60843894271355,211.11672989133262
2018-08-01,2018-8,121.0,3.0,0.024793388429752067,36.0,0.0,0.0,0.0,0.0,0.0,157.0,0.7707006369426752,0.22929936305732485,0.0,1.3195315673364743,0.0,,0.6597657836682371,1.0169638194121873,107.22287721717305,85.60373410507489,107.22287721717305
2018-09-01,2018-9,107.0,1.0,0.009345794392523364,26.0,1.0,0.038461538461538464,0.0,0.0,0.0,133.0,0.8045112781954887,0.19548872180451127,0.0,0.49739351915175506,0.7983046501651202,,0.6478490846584376,0.5562182515303076,58.644486806086,84.05755823676394,58.644486806086
2018-10-01,2018-10,129.0,2.0,0.015503875968992248,39.0,0.0,0.0,0.0,0.0,0.0,168.0,0.7678571428571429,0.23214285714285715,0.0,0.8251334348719038,0.0,,0.4125667174359519,0.6335846017766404,66.80155445673083,53.52998360058947,66.80155445673083
2018-11-01,2018-11,78.0,4.0,0.05128205128205128,44.0,5.0,0.11363636363636363,0.0,0.0,0.0,122.0,0.639344262295082,0.36065573770491804,0.0,2.729287515345528,2.358627375487855,,2.5439574454166913,2.595606809167351,273.6660094400148,330.0750995622754,273.6660094400148
2018-12-01,2018-12,105.0,1.0,0.009523809523809525,32.0,2.0,0.0625,0.0,0.0,0.0,137.0,0.7664233576642335,0.23357664233576642,0.0,0.5068676814213123,1.2972450565183202,,0.9020563689698162,0.691481374874628,72.90586070112036,117.04061572843129,72.90586070112036
2019-01-01,2019-1,96.0,2.0,0.020833333333333332,31.0,0.0,0.0,0.0,0.0,0.0,127.0,0.7559055118110236,0.2440944881889764,0.0,1.1087730531091207,0.0,,0.5543865265545603,0.8381276621927212,88.36741061992738,71.9309154632921,88.36741061992738
2019-02-01,2019-2,81.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,102.0,0.7941176470588235,0.20588235294117646,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-03-01,2019-3,139.0,2.0,0.014388489208633094,25.0,4.0,0.16,0.0,0.0,0.0,164.0,0.8475609756097561,0.1524390243902439,0.0,0.7657713172552201,3.3209473446869,,2.04335933097106,1.1552798580222445,121.80613312260355,265.12315912631254,121.80613312260355
2019-04-01,2019-4,97.0,1.0,0.010309278350515464,16.0,0.0,0.0,0.0,0.0,0.0,113.0,0.8584070796460177,0.1415929203539823,0.0,0.548671201538534,0.0,,0.274335600769267,0.4709832437985646,49.657792693499026,35.59467981688681,49.657792693499026
2019-05-01,2019-5,139.0,1.0,0.007194244604316547,26.0,1.0,0.038461538461538464,0.0,0.0,0.0,165.0,0.8424242424242424,0.15757575757575756,0.0,0.38288565862761004,0.7983046501651202,,0.5905951543963651,0.4483456209304904,47.27101057702691,76.62893683209666,47.27101057702691
2019-06-01,2019-6,99.0,3.0,0.030303030303030304,12.0,1.0,0.08333333333333333,0.0,0.0,0.0,111.0,0.8918918918918919,0.10810810810810811,0.0,1.6127608045223574,1.7296600753577602,,1.671210439940059,1.6253985635315902,171.37277381928124,216.83733481727904,171.37277381928124
2019-07-01,2019-7,118.0,3.0,0.025423728813559324,22.0,1.0,0.045454545454545456,0.0,0.0,0.0,140.0,0.8428571428571429,0.15714285714285714,0.0,1.3530789800653678,0.943450950195142,,1.148264965130255,1.2887088610857609,135.8741278138587,148.98585405667447,135.8741278138587
2019-08-01,2019-8,93.0,1.0,0.010752688172043012,29.0,2.0,0.06896551724137931,0.0,0.0,0.0,122.0,0.7622950819672131,0.23770491803278687,0.0,0.5722699628950301,1.4314428209857326,,1.0018563919403813,0.7764995767034757,81.86969603322532,129.98953615069524,81.86969603322532
2019-09-01,2019-9,75.0,1.0,0.013333333333333334,17.0,2.0,0.11764705882352941,0.0,0.0,0.0,92.0,0.8152173913043478,0.18478260869565216,0.0,0.7096147539898373,2.441873047563897,,1.5757439007768672,1.029705960411131,108.56633604405968,204.45067816312462,108.56633604405968
2019-10-01,2019-10,74.0,2.0,0.02702702702702703,16.0,0.0,0.0,0.0,0.0,0.0,90.0,0.8222222222222222,0.17777777777777778,0.0,1.438408285114535,0.0,,0.7192041425572675,1.1826912566497287,124.69623498589753,93.3157822226492,124.69623498589753
2019-11-01,2019-11,88.0,4.0,0.045454545454545456,23.0,5.0,0.21739130434782608,0.0,0.0,0.0,111.0,0.7927927927927928,0.2072072072072072,0.0,2.4191412067835363,4.512156718324592,,3.465648962554064,2.8528291055713226,300.78606442956584,449.6633496853003,300.78606442956584
2019-12-01,2019-12,126.0,4.0,0.031746031746031744,16.0,0.0,0.0,0.0,0.0,0.0,142.0,0.8873239436619719,0.11267605633802817,0.0,1.689558938071041,0.0,,0.8447794690355205,1.4991860999785294,158.06564998212363,109.60901403930222,158.06564998212363
