date,ym,china_daily_body_count,china_daily_epu_count,china_daily_ratio,china_caixin_global_body_count,china_caixin_global_epu_count,china_caixin_global_ratio,china_people_s_daily_online_body_count,china_people_s_daily_online_epu_count,china_people_s_daily_online_ratio,news_total,china_daily_weights,china_caixin_global_weights,china_people_s_daily_online_weights,china_daily_z_score,china_caixin_global_z_score,china_people_s_daily_online_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2022-10-01,2022-10,70.0,1.0,0.014285714285714285,42.0,0.0,0.0,0.0,0.0,0.0,112.0,0.625,0.375,0.0,0.7829775896614382,0.0,,0.3914887948307191,0.48936099353839885,64.27108765064594,57.16754321238614,64.27108765064594
2022-11-01,2022-11,53.0,1.0,0.018867924528301886,48.0,0.0,0.0,0.0,0.0,0.0,101.0,0.5247524752475248,0.4752475247524752,0.0,1.0341213448358617,0.0,,0.5170606724179309,0.5426577354089176,71.27090907794403,75.5043023559817,71.27090907794403
2022-12-01,2022-12,98.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,159.0,0.6163522012578616,0.3836477987421384,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-01-01,2023-1,71.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,107.0,0.6635514018691588,0.3364485981308411,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-02-01,2023-2,77.0,1.0,0.012987012987012988,33.0,0.0,0.0,0.0,0.0,0.0,110.0,0.7,0.3,0.0,0.7117978087831256,0.0,,0.3558989043915628,0.49825846614818786,65.43965288065768,51.97049382944194,65.43965288065768
2023-03-01,2023-3,199.0,1.0,0.005025125628140704,49.0,0.0,0.0,0.0,0.0,0.0,248.0,0.8024193548387096,0.1975806451612903,0.0,0.275419252644727,0.0,,0.1377096263223635,0.2210017390173414,29.025652487388488,20.10918605460819,29.025652487388488
2023-04-01,2023-4,59.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,92.0,0.6413043478260869,0.358695652173913,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-05-01,2023-5,61.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,99.0,0.6161616161616161,0.3838383838383838,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-06-01,2023-6,81.0,1.0,0.012345679012345678,36.0,0.0,0.0,0.0,0.0,0.0,117.0,0.6923076923076923,0.3076923076923077,0.0,0.6766472997074157,0.0,,0.33832364985370783,0.4684481305666724,61.52445997326791,49.404049689716416,61.52445997326791
2023-07-01,2023-7,72.0,1.0,0.013888888888888888,32.0,0.0,0.0,0.0,0.0,0.0,104.0,0.6923076923076923,0.3076923076923077,0.0,0.7612282121708426,0.0,,0.3806141060854213,0.5270041468875064,69.2150174699264,55.57955590093096,69.2150174699264
2023-08-01,2023-8,60.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,96.0,0.625,0.375,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-09-01,2023-9,88.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,122.0,0.7213114754098361,0.2786885245901639,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-10-01,2023-10,62.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,95.0,0.6526315789473685,0.3473684210526316,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-01,2023-11,46.0,1.0,0.021739130434782608,29.0,0.0,0.0,0.0,0.0,0.0,75.0,0.6133333333333333,0.38666666666666666,0.0,1.191487636441319,0.0,,0.5957438182206595,0.7307790836840089,95.97815755829794,86.99408749710935,95.97815755829794
