date,ym,vietnam_net_body_count,vietnam_net_epu_count,vietnam_net_ratio,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_dan_tri_body_count,vietnam_dan_tri_epu_count,vietnam_dan_tri_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_net_weights,vietnam_tuoi_tre_weights,vietnam_dan_tri_weights,vietnam_news_weights,vietnam_net_z_score,vietnam_tuoi_tre_z_score,vietnam_dan_tri_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2019-04-01,2019-4,224,0.0,0.0,154,0.0,0.0,0.0,0.0,0.0,308.0,1.0,0.003246753246753247,686.0,0.32653061224489793,0.22448979591836735,0.0,0.4489795918367347,,0.0,,0.45375705971746827,0.22687852985873413,0.20372765946498575,38.87367625254179,26.699128363384855,38.87367625254179
2019-05-01,2019-5,344,0.0,0.0,145,0.0,0.0,0.0,0.0,0.0,332.0,2.0,0.006024096385542169,821.0,0.4190012180267966,0.17661388550548113,0.0,0.4043848964677223,,0.0,,0.8419106891143388,0.4209553445571694,0.3404559668525706,64.96307407854732,49.538141782665875,64.96307407854732
2019-06-01,2019-6,282,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,305.0,4.0,0.013114754098360656,737.0,0.38263229308005425,0.20352781546811397,0.0,0.41383989145183175,,0.0,,1.8328809756456423,0.9164404878228212,0.7585192640053201,144.73455581679062,107.84697096291849,144.73455581679062
2019-07-01,2019-7,363,0.0,0.0,158,0.0,0.0,0.0,0.0,0.0,347.0,4.0,0.011527377521613832,868.0,0.4182027649769585,0.18202764976958524,0.0,0.39976958525345624,,0.0,,1.6110337105819046,0.8055168552909523,0.6440422783086647,122.89097654029342,94.79344709997159,122.89097654029342
2019-08-01,2019-8,318,0.0,0.0,154,0.0,0.0,0.0,0.0,0.0,373.0,3.0,0.00804289544235925,845.0,0.3763313609467456,0.18224852071005918,0.0,0.4414201183431953,,0.0,,1.1240523409623076,0.5620261704811538,0.4961793173715275,94.67695352394203,66.13939573128044,94.67695352394203
2019-09-01,2019-9,1023,0.0,0.0,136,0.0,0.0,0.0,0.0,0.0,322.0,5.0,0.015527950310559006,1481.0,0.6907494935854153,0.09182984469952735,0.0,0.2174206617150574,,0.0,,2.1701424595183263,1.0850712297591631,0.4718338095644167,90.03153919393542,127.69148347705799,90.03153919393542
2019-10-01,2019-10,1248,0.0,0.0,175,0.0,0.0,0.0,0.0,0.0,365.0,5.0,0.0136986301369863,1788.0,0.697986577181208,0.09787472035794184,0.0,0.2041387024608501,,0.0,,1.914481840999729,0.9572409204998645,0.39081983890654426,74.57310377305278,112.64837720441828,74.57310377305278
2019-11-01,2019-11,1051,0.0,0.0,159,0.0,0.0,0.0,0.0,0.0,357.0,2.0,0.0056022408963585435,1567.0,0.6707083599234206,0.10146777281429484,0.0,0.22782386726228462,,0.0,,0.7829533579438668,0.3914766789719334,0.17837546189276351,34.036173464254844,46.06908423486014,34.036173464254844
2019-12-01,2019-12,1133,0.0,0.0,184,0.0,0.0,0.0,0.0,0.0,295.0,2.0,0.006779661016949152,1612.0,0.7028535980148883,0.1141439205955335,0.0,0.18300248138957817,,0.0,,0.9475062670710523,0.47375313353552617,0.17339599800617894,33.08603214546361,55.75140024354261,33.08603214546361
2020-01-01,2020-1,1090,0.0,0.0,169,0.0,0.0,0.0,0.0,0.0,272.0,5.0,0.01838235294117647,1531.0,0.7119529719137818,0.11038536903984324,0.0,0.17766165904637493,,0.0,,2.569065705753313,1.2845328528766564,0.45642447548327963,87.09125378590356,151.16418264563484,87.09125378590356
2020-02-01,2020-2,1037,0.0,0.0,177,3.0,0.01694915254237288,0.0,0.0,0.0,298.0,3.0,0.010067114093959731,1512.0,0.6858465608465608,0.11706349206349206,0.0,0.1970899470899471,,2.9334840461986174,,1.4069514200635593,2.1702177331310883,0.6206998672990052,118.43696508732612,255.39182517375784,118.43696508732612
2020-03-01,2020-3,1006,0.0,0.0,259,0.0,0.0,0.0,0.0,0.0,385.0,7.0,0.01818181818181818,1650.0,0.6096969696969697,0.15696969696969698,0.0,0.23333333333333334,,0.0,,2.541039534417822,1.270519767208911,0.5929092246974919,113.13417779679133,149.51511883495516,113.13417779679133
2020-04-01,2020-4,959,0.0,0.0,256,10.0,0.0390625,0.0,0.0,0.0,358.0,4.0,0.0111731843575419,1573.0,0.6096630642085188,0.16274634456452639,0.0,0.22759059122695485,,6.760764012723376,,1.561532674781902,4.1611483437526395,1.45567977420795,277.7611268815395,489.68509200986887,277.7611268815395
2020-05-01,2020-5,988,0.0,0.0,221,1.0,0.004524886877828055,0.0,0.0,0.0,334.0,6.0,0.017964071856287425,1543.0,0.6403110823071938,0.14322747893713544,0.0,0.21646143875567078,,0.7831473245507622,,2.5106079232271896,1.646877623888976,0.6556180201449123,125.09976665601472,193.80501586631422,125.09976665601472
2020-06-01,2020-6,881,0.0,0.0,201,3.0,0.014925373134328358,0.0,0.0,0.0,342.0,2.0,0.005847953216374269,1424.0,0.6186797752808989,0.14115168539325842,0.0,0.2401685393258427,,2.583217294413708,,0.8172934175028083,1.700255355958258,0.5609136411257836,107.02903743173697,200.0865221910929,107.02903743173697
2020-07-01,2020-7,1005,0.0,0.0,221,3.0,0.013574660633484163,0.0,0.0,0.0,369.0,8.0,0.02168021680216802,1595.0,0.6300940438871473,0.13855799373040753,0.0,0.23134796238244515,,2.3494419736522865,,3.029965840498216,2.689703907075251,1.0265103895429448,195.870470694831,316.52510230568794,195.870470694831
2020-08-01,2020-8,795,0.0,0.0,304,0.0,0.0,0.0,0.0,0.0,305.0,10.0,0.03278688524590164,1404.0,0.5662393162393162,0.21652421652421652,0.0,0.21723646723646722,,0.0,,4.582202439114106,2.291101219557053,0.9954214700354717,189.93833268692072,269.61742740729625,189.93833268692072
2020-09-01,2020-9,946,0.0,0.0,223,0.0,0.0,0.0,0.0,0.0,274.0,4.0,0.014598540145985401,1443.0,0.6555786555786556,0.15453915453915454,0.0,0.18988218988218988,,0.0,,2.0402507210654046,1.0201253605327023,0.387407274824616,73.92194569436916,120.04863556091291,73.92194569436916
2020-10-01,2020-10,1049,0.0,0.0,254,1.0,0.003937007874015748,0.0,0.0,0.0,303.0,3.0,0.009900990099009901,1606.0,0.6531755915317559,0.1581569115815691,0.0,0.18866749688667497,,0.6813998375028284,,1.3837343999304974,1.032567118716663,0.36883379944250255,70.37790424813183,121.51278511718249,70.37790424813183
2020-11-01,2020-11,1017,0.0,0.0,248,0.0,0.0,0.0,0.0,0.0,279.0,5.0,0.017921146953405017,1544.0,0.658678756476684,0.16062176165803108,0.0,0.18069948186528498,,0.0,,2.504608860089251,1.2523044300446255,0.45258152329332973,86.35797250402743,147.37153290183753,86.35797250402743
2020-12-01,2020-12,1022,0.0,0.0,229,0.0,0.0,0.0,0.0,0.0,314.0,7.0,0.022292993630573247,1565.0,0.6530351437699681,0.1463258785942492,0.0,0.20063897763578276,,0.0,,3.115605798569623,1.5578028992848114,0.6251119621411256,119.27884560045092,183.3226775524132,119.27884560045092
2021-01-01,2021-1,1058,0.0,0.0,218,0.0,0.0,0.0,0.0,0.0,275.0,3.0,0.01090909090909091,1551.0,0.68214055448098,0.14055448098001289,0.0,0.1773049645390071,,0.0,,1.5246237206506934,0.7623118603253467,0.2703233547253003,51.580932126196664,89.70907130097311,51.580932126196664
2021-02-01,2021-2,835,0.0,0.0,208,0.0,0.0,0.0,0.0,0.0,194.0,3.0,0.015463917525773196,1237.0,0.6750202101859337,0.16814874696847212,0.0,0.15683104284559418,,0.0,,2.161193418448148,1.080596709224074,0.33894221760625765,64.67423260123769,127.16492065859592,64.67423260123769
2021-03-01,2021-3,1019,0.0,0.0,249,1.0,0.004016064257028112,0.0,0.0,0.0,280.0,2.0,0.007142857142857143,1548.0,0.6582687338501292,0.16085271317829458,0.0,0.18087855297157623,,0.6950825651635277,,0.9982655313784301,0.8466740482709789,0.2923707412866142,55.7878374116641,99.63683699294444,55.7878374116641
2021-04-01,2021-4,993,0.0,0.0,273,0.0,0.0,0.0,0.0,0.0,258.0,4.0,0.015503875968992248,1524.0,0.6515748031496063,0.17913385826771652,0.0,0.16929133858267717,,0.0,,2.1667778975655847,1.0833889487827923,0.3668167306902368,69.99302338384165,127.4935121848455,69.99302338384165
2021-05-01,2021-5,1044,0.0,0.0,336,2.0,0.005952380952380952,0.0,0.0,0.0,264.0,2.0,0.007575757575757576,1644.0,0.635036496350365,0.20437956204379562,0.0,0.16058394160583941,,1.0302116590816572,,1.0587664726740926,1.044489065877875,0.38057510111763826,72.61828516303208,122.91576316802266,72.61828516303208
2021-06-01,2021-6,1078,0.0,0.0,369,3.0,0.008130081300813009,0.0,0.0,0.0,277.0,8.0,0.02888086642599278,1724.0,0.6252900232018561,0.2140371229698376,0.0,0.16067285382830626,,1.4071183636237272,,4.0363082857178405,2.721713324670784,0.9497007374251725,181.2142695813547,320.2919794524698,181.2142695813547
2021-07-01,2021-7,1952,0.0,0.0,342,3.0,0.008771929824561403,0.0,0.0,0.0,300.0,2.0,0.006666666666666667,2594.0,0.7525057825751735,0.1318427139552814,0.0,0.1156515034695451,,1.518206655488758,,0.9317144959532015,1.2249605757209798,0.30791866806596596,58.75456796561042,144.15370053580764,58.75456796561042
2021-08-01,2021-8,2383,0.0,0.0,312,6.0,0.019230769230769232,0.0,0.0,0.0,298.0,10.0,0.03355704697986577,2993.0,0.7961911125960575,0.10424323421316405,0.0,0.09956565319077848,,3.328376129340739,,4.689838066878531,4.009107098109635,0.8139074828881099,155.3032910327594,471.7928360239055,155.3032910327594
2021-09-01,2021-9,2158,0.0,0.0,281,3.0,0.010676156583629894,0.0,0.0,0.0,269.0,15.0,0.055762081784386616,2708.0,0.7968980797636632,0.10376661742983752,0.0,0.09933530280649926,,1.847781765755001,,7.793150988456146,4.820466377105573,0.9658730768359891,184.30014554023674,567.273821167031,184.30014554023674
2021-10-01,2021-10,2169,0.0,0.0,277,4.0,0.01444043321299639,0.0,0.0,0.0,315.0,15.0,0.047619047619047616,2761.0,0.7855849329952915,0.10032596885186526,0.0,0.11408909815284317,,2.4992860465807714,,6.655103542522868,4.577194794551819,1.0100180553413898,192.723535899214,538.6455538126424,192.723535899214
