date,ym,vietnam_net_body_count,vietnam_net_epu_count,vietnam_net_ratio,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_dan_tri_body_count,vietnam_dan_tri_epu_count,vietnam_dan_tri_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_net_weights,vietnam_tuoi_tre_weights,vietnam_dan_tri_weights,vietnam_news_weights,vietnam_net_z_score,vietnam_tuoi_tre_z_score,vietnam_dan_tri_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2018-04-01,2018-4,235,0.0,0.0,190,5.0,0.02631578947368421,0.0,0.0,0.0,317.0,21.0,0.06624605678233439,742.0,0.316711590296496,0.2560646900269542,0.0,0.4272237196765499,,2.3647774801745567,,1.9564403990899366,2.1606089396322465,1.441373757068296,138.17302912948972,132.57538908064126
2018-05-01,2018-5,266,0.0,0.0,186,3.0,0.016129032258064516,0.0,0.0,0.0,347.0,12.0,0.0345821325648415,799.0,0.33291614518147683,0.2327909887359199,0.0,0.43429286608260326,,1.449379745913438,,1.0213118262849072,1.2353457860991726,0.7809509843063358,74.86355469849875,75.80106017200157
2018-06-01,2018-6,261,0.0,0.0,263,6.0,0.022813688212927757,0.0,0.0,0.0,355.0,22.0,0.061971830985915494,879.0,0.29692832764505117,0.2992036405005688,0.0,0.40386803185437997,,2.050073252774901,,1.8302099722673666,1.9401416125211337,1.3525526799029737,129.65845945434944,119.04747056878888
2018-07-01,2018-7,232,0.0,0.0,161,3.0,0.018633540372670808,0.0,0.0,0.0,362.0,23.0,0.06353591160220995,755.0,0.3072847682119205,0.21324503311258278,0.0,0.4794701986754967,,1.6744387126701832,,1.876401861321327,1.7754202869957552,1.256744511971152,120.47409300285216,108.94013766794333
2018-08-01,2018-8,257,0.0,0.0,86,0.0,0.0,0.0,0.0,0.0,374.0,20.0,0.053475935828877004,717.0,0.3584379358437936,0.1199442119944212,0.0,0.5216178521617852,,0.0,,1.579301264353221,0.7896506321766105,0.8237917334283189,78.97035631558997,48.453117951278706
2018-09-01,2018-9,257,0.0,0.0,61,0.0,0.0,0.0,0.0,0.0,357.0,19.0,0.05322128851540616,675.0,0.38074074074074077,0.09037037037037036,0.0,0.5288888888888889,,0.0,,1.571780782142015,0.7858903910710076,0.8312973914439991,79.68986400646533,48.22238881817738
2018-10-01,2018-10,291,0.0,0.0,144,1.0,0.006944444444444444,0.0,0.0,0.0,404.0,30.0,0.07425742574257425,839.0,0.3468414779499404,0.17163289630512515,0.0,0.48152562574493446,,0.6240385017127302,,2.193039626985537,1.4085390643491336,1.163110314122515,111.49812775899272,86.42823375670798
2018-11-01,2018-11,342,0.0,0.0,209,2.0,0.009569377990430622,0.0,0.0,0.0,361.0,24.0,0.0664819944598338,912.0,0.375,0.22916666666666666,0.0,0.3958333333333333,,0.8599190836998388,,1.9634083308635057,1.4116637072816722,0.9742472543146841,93.39332951610679,86.61996246101941
2018-12-01,2018-12,270,0.0,0.0,190,5.0,0.02631578947368421,0.0,0.0,0.0,330.0,17.0,0.051515151515151514,790.0,0.34177215189873417,0.24050632911392406,0.0,0.4177215189873418,,2.3647774801745567,,1.521393551326936,1.9430855157507465,1.204262776165892,115.44308673218451,119.22810904941467
2019-01-01,2019-1,258,0.0,0.0,182,5.0,0.027472527472527472,0.0,0.0,0.0,364.0,36.0,0.0989010989010989,804.0,0.3208955223880597,0.2263681592039801,0.0,0.4527363184079602,,2.4687237430393725,,2.9208395911060117,2.694781667072692,1.8812106124325298,180.33668746615655,165.35233259765653
