date,ym,vietnam_net_body_count,vietnam_net_epu_count,vietnam_net_ratio,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_dan_tri_body_count,vietnam_dan_tri_epu_count,vietnam_dan_tri_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_net_weights,vietnam_tuoi_tre_weights,vietnam_dan_tri_weights,vietnam_news_weights,vietnam_net_z_score,vietnam_tuoi_tre_z_score,vietnam_dan_tri_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2017-11-01,2017-11,336,0.0,0.0,202,4.0,0.019801980198019802,0.0,0.0,0.0,380.0,14.0,0.03684210526315789,918.0,0.3660130718954248,0.22004357298474944,0.0,0.4139433551198257,,2.3300417702894745,,1.3945119349336563,1.8622768526115654,1.0899596654392845,117.87726471016441,133.2432694788108,117.87726471016441
2017-12-01,2017-12,260,0.0,0.0,182,0.0,0.0,0.0,0.0,0.0,339.0,11.0,0.032448377581120944,781.0,0.33290653008962867,0.2330345710627401,0.0,0.43405889884763127,,0.0,,1.2282047804514715,0.6141023902257358,0.5331132145621624,57.655277994258284,43.93815567952862,57.655277994258284
2018-01-01,2018-1,232,0.0,0.0,216,4.0,0.018518518518518517,0.0,0.0,0.0,370.0,29.0,0.07837837837837838,818.0,0.28361858190709044,0.26405867970660146,0.0,0.45232273838630804,,2.1790205444373787,,2.966702996712142,2.57286177057476,1.9172965114693963,207.35232282129095,184.08461327738357,207.35232282129095
2018-02-01,2018-2,148,0.0,0.0,160,1.0,0.00625,0.0,0.0,0.0,250.0,9.0,0.036,558.0,0.26523297491039427,0.2867383512544803,0.0,0.44802867383512546,,0.7354194337476154,,1.362637376420887,1.0490284050842513,0.8213735725893194,88.83014033645269,75.05649564056658,88.83014033645269
2018-03-01,2018-3,286,0.0,0.0,213,0.0,0.0,0.0,0.0,0.0,362.0,21.0,0.058011049723756904,861.0,0.3321718931475029,0.24738675958188153,0.0,0.42044134727061555,,0.0,,2.1957784610833815,1.0978892305416907,0.9231960544856957,99.84206677054482,78.55241845368263,99.84206677054482
2018-04-01,2018-4,235,0.0,0.0,190,1.0,0.005263157894736842,0.0,0.0,0.0,317.0,18.0,0.056782334384858045,742.0,0.316711590296496,0.2560646900269542,0.0,0.4272237196765499,,0.6193005757874656,,2.149270309812125,1.3842854427997953,1.0768002663208383,116.45409831006958,99.04366154361477,116.45409831006958
2018-05-01,2018-5,266,0.0,0.0,186,2.0,0.010752688172043012,0.0,0.0,0.0,347.0,12.0,0.0345821325648415,799.0,0.33291614518147683,0.2327909887359199,0.0,0.43429286608260326,,1.2652377354797684,,1.3089696219220819,1.2871036787009251,0.863012112147934,93.33327683345077,92.09044405390952,93.33327683345077
2018-06-01,2018-6,261,0.0,0.0,263,3.0,0.011406844106463879,0.0,0.0,0.0,355.0,16.0,0.04507042253521127,879.0,0.29692832764505117,0.2992036405005688,0.0,0.40386803185437997,,1.3422103733796782,,1.7059622865989197,1.524086329989299,1.0905778611393309,117.94412151274865,109.04621688818965,117.94412151274865
2018-07-01,2018-7,232,0.0,0.0,161,2.0,0.012422360248447204,0.0,0.0,0.0,362.0,19.0,0.052486187845303865,755.0,0.3072847682119205,0.21324503311258278,0.0,0.4794701986754967,,1.4617032223555086,,1.9866567028849642,1.7241799626202363,1.2642436360842304,136.72577662658745,123.36263271876278,136.72577662658745
2018-08-01,2018-8,257,0.0,0.0,86,0.0,0.0,0.0,0.0,0.0,374.0,15.0,0.040106951871657755,717.0,0.3584379358437936,0.1199442119944212,0.0,0.5216178521617852,,0.0,,1.5180897687398476,0.7590448843699238,0.7918627245588605,85.6385928366598,54.30858571473093,85.6385928366598
2018-09-01,2018-9,257,0.0,0.0,61,0.0,0.0,0.0,0.0,0.0,357.0,9.0,0.025210084033613446,675.0,0.38074074074074077,0.09037037037037036,0.0,0.5288888888888889,,0.0,,0.9542278546364756,0.4771139273182378,0.5046805097855137,54.5803298345645,34.1368253064023,54.5803298345645
2018-10-01,2018-10,291,0.0,0.0,144,1.0,0.006944444444444444,0.0,0.0,0.0,404.0,24.0,0.0594059405940594,839.0,0.3468414779499404,0.17163289630512515,0.0,0.48152562574493446,,0.8171327041640171,,2.2485765287473383,1.5328546164556776,1.2229940727217439,132.26470723674095,109.67357535794063,132.26470723674095
2018-11-01,2018-11,342,0.0,0.0,209,1.0,0.004784688995215311,0.0,0.0,0.0,361.0,22.0,0.060941828254847646,912.0,0.375,0.22916666666666666,0.0,0.3958333333333333,,0.5630005234431505,,2.30671147131883,1.4348559973809905,1.0420942440194256,112.70070164083442,102.6619130524094,112.70070164083442
2018-12-01,2018-12,270,0.0,0.0,190,3.0,0.015789473684210527,0.0,0.0,0.0,330.0,14.0,0.04242424242424243,790.0,0.34177215189873417,0.24050632911392406,0.0,0.4177215189873418,,1.8579017273623968,,1.6058016220448166,1.7318516747036066,1.1176150170552468,120.8681434614195,123.91153284553764,120.8681434614195
2019-01-01,2019-1,258,0.0,0.0,182,3.0,0.016483516483516484,0.0,0.0,0.0,364.0,29.0,0.07967032967032966,804.0,0.3208955223880597,0.2263681592039801,0.0,0.4527363184079602,,1.9395677373563482,,3.015604694460144,2.477586215908246,1.8043301455004326,195.13520447562993,177.2677823709741,195.13520447562993
2019-02-01,2019-2,172,0.0,0.0,149,0.0,0.0,0.0,0.0,0.0,242.0,16.0,0.06611570247933884,563.0,0.30550621669627,0.26465364120781526,0.0,0.42984014209591476,,0.0,,2.5025479824075063,1.2512739912037532,1.0756955803598873,116.33462842180712,89.52688069337462,116.33462842180712
2019-03-01,2019-3,239,0.0,0.0,175,4.0,0.022857142857142857,0.0,0.0,0.0,363.0,13.0,0.03581267217630854,777.0,0.3075933075933076,0.22522522522522523,0.0,0.4671814671814672,,2.6895339291341362,,1.355546823804066,2.022540376469101,1.239037238918082,133.99974809052586,144.70989747616125,133.99974809052586
2019-04-01,2019-4,224,0.0,0.0,154,0.0,0.0,0.0,0.0,0.0,308.0,23.0,0.07467532467532467,686.0,0.32653061224489793,0.22448979591836735,0.0,0.4489795918367347,,0.0,,2.8265385694156206,1.4132692847078103,1.2690581332070134,137.24645621665272,101.11741435457044,137.24645621665272
2019-05-01,2019-5,344,0.0,0.0,145,2.0,0.013793103448275862,0.0,0.0,0.0,332.0,16.0,0.04819277108433735,821.0,0.4190012180267966,0.17661388550548113,0.0,0.4043848964677223,,1.6229946124085304,,1.8241464209114955,1.723570516660013,1.0243006462141941,110.77635461668272,123.31902772405057,110.77635461668272
