code,title,keywords
01.2.9.0,Other non-alcoholic beverages (ND),"flavoured water; energy drinks; energy supplements (which are mixed with water for drink preparation); and protein powder (mixed with water for drink preparation); birch juice and sap, and aloe vera juice and drinks; syrups and concentrates for the preparation of beverages; other non-alcoholic beverages"
01.3.0.0,Services for processing primary goods for food and non-alcoholic beverages (S),"Services purchased for the processing of primary goods provided by households to produce food and non-alcoholic beverages for their own final consumption.; cereal grinding services for flour production; oil pressing services; crushing and pressing services for the production of juices made from fruits and vegetables; custom slaughtering of land animals, both domestic and wild, for food purposes"
02.1.1.0,Spirits and liquors (ND),"eaux de vie, liqueurs and other spirits with a high alcohol content; mead; pomace brandies, such as pisco, grappa and marc; aperitifs, other than wine-based aperitifs"
02.1.2.1,Wine from grapes (ND),"wine from grapes; fortified wines, such as vermouth, sherry and port wine; champagne and other sparkling wines from grapes; ice wine; low-alcohol and non-alcoholic wine; wine-based aperitifs"
02.1.2.2,Wine from other sources (ND),"ciders and perries, including sake"
02.1.3.0,Beer (ND),"all kinds of beers, such as ale, lager, stout and porter; low-alcohol beer and non-alcoholic beer"
02.1.9.0,Other alcoholic beverages (ND),"mixed alcohol-based drinks, such as soda water and mineral water-based mixed alcoholic drinks (alcopops); shandy, cola beer and radler"
02.2.0.0,Alcohol production services (S),Services purchased for the processing of primary products provided by households to produce alcohol for their own final consumption.; fruit and vegetable crushing and pressing services for the production of alcoholic beverages; distilling and fermentation services; brewing services; ageing and bottling services
02.3.0.1,Cigarettes (ND),"cigarettes; cigarettes that are purchased in bars and restaurants, provided that a service charge is not applied"
02.3.0.2,Cigars (ND),"Includes:; cigars; cigars that are purchased in bars and restaurants, provided that a service charge is not applied"
02.3.0.9,Other tobacco products (ND),"pipe tobacco, chewing tobacco, hookah blends, snus and snuff; cigarette tobacco and tobacco leaf; cigarette papers and single-use filters which are consumed with the cigarette; refills for electronic cigarettes, with or without nicotine; tobacco that is consumed with a shisha or a hookah pipe if consumed at home"
02.4.0.0,Narcotics (ND),"marijuana, opium, cocaine and their derivatives; other vegetable-based narcotics, such as betel leaves, betel nuts, cola nuts, kava, khat, and psilocybin mushroom; other narcotics, including chemicals and synthetic drugs"
03.1.1.0,Clothing materials (SD),"clothing materials of natural, synthetic and mixed fibres; leather, fur, fusible webbing, wadding and felt filling for making wearing apparel"
03.1.2.1,Garments for men or boys (SD),"Garments for men or boys, either ready-to-wear or made-to-measure, in all materials (including leather, furs, plastics and rubber), for everyday wear, for sport or for work; capes, overcoats, raincoats, anoraks, parkas, jackets, trousers, waistcoats, suits, costumes, etc.; shirts, pullovers, sweaters, cardigans, shorts, swimsuits, tracksuits, jogging suits, sweatshirts, T-shirts, leotards, etc.; traditional garments; vests, underpants, socks, etc.; pyjamas, dressing gowns, bathrobes, etc."
03.1.2.2,Garments for women or girls (SD),"Garments for women or girls, either ready-to-wear or made-to-measure, in all materials (including leather, furs, plastics and rubber), for everyday wear, for sport or for work.; capes, overcoats, raincoats, anoraks, parkas, blousons, jackets, trousers, waistcoats, suits, costumes, dresses, skirts, etc.; shirts, blouses, pullovers, sweaters, cardigans, shorts, swimsuits, tracksuits, jogging suits, sweatshirts, t-shirts, leotards, etc.; traditional garments; vests, underpants, socks, stockings, tights, petticoats, brassieres, knickers, slips, girdles, corsets, body stockings, etc.; pyjamas, nightshirts, nightdresses, housecoats, dressing gowns, bathrobes, etc."
03.1.2.3,Garments for infants (under 2 years of age) (SD),"Garments for infants or babies (under 2 years of age), either ready-to-wear or made to measure, in all materials.; raincoats, anoraks, parkas, blousons, jackets, trousers, waistcoats, suits, costumes, dresses, skirts, etc.; vests, underpants, socks, stockings, tights, etc.; pyjamas, nightshirts, nightdresses, dressing gowns, bathrobes, etc."
03.1.2.4,School uniforms (SD),school uniforms
03.1.3.1,Other articles of clothing (SD),"ties, handkerchiefs, scarves, gloves, mittens, muffs, belts, braces, aprons, smocks, bibs, sleeve protectors, hats, caps, berets, bonnets, etc.; working gloves"
03.1.3.2,Clothing accessories (SD),"sewing threads, knitting yarns and accessories used in the creation of clothing, such as buckles, buttons, press studs, zip fasteners, ribbons, laces, trimmings, etc."
03.1.4.1,Cleaning of clothing (S),"dry-cleaning, laundering and dyeing of garments"
03.1.4.2,"Repair, tailoring and hire of clothing (S)","The cost of materials is included only if they are not separately priced.; darning, mending, repair and altering of garments; tailoring services for which the customer supplies the material; hire of garments"
03.2.1.1,Footwear for men (SD),"all footwear for men either ready-to-wear or made-to-measure; gaiters and similar articles; shoelaces; parts of footwear, such as heels, soles, etc., purchased by households with the intention of undertaking footwear repair themselves; sports footwear suitable for everyday or leisure wear (shoes for jogging, cross-training, tennis, basketball, boating, etc.)"
03.2.1.2,Footwear for women (SD),"all footwear for women either ready-to-wear or made to measure; gaiters and similar articles; shoelaces; parts of footwear, such as heels, soles, etc., purchased by households with the intention of undertaking footwear repair themselves; sports footwear suitable for everyday or leisure wear (shoes for jogging, cross-training, tennis, basketball, boating, etc.)"
03.2.1.3,Footwear for infants and children (SD),"all footwear for infants and children (under 13 years of age) either ready-to-wear or made to measure; gaiters and similar articles; shoelaces; parts of footwear, such as heels, soles, etc., purchased by households with the intention of repairing footwear themselves; sports footwear suitable for everyday or leisure wear (shoes for jogging cross-training, tennis, basketball, boating, etc.); baby’s booties made of fabric or sheepskin"
03.2.2.0,"Cleaning, repair and hire of footwear (S)",The cost of materials is included only if they are not separately priced.; repair of footwear; shoe-cleaning services; dyeing of shoes; hire of footwear
04.1.1.0,Actual rental payments made by tenants for main residence (S),rentals actually paid by tenants or subtenants occupying furnished or unfurnished premises as their main residence; payments by households occupying a room in a hotel or boarding house as their main residence
04.1.2.1,Actual rental payments made by tenants for secondary residences (S),rentals actually paid for secondary residences
04.1.2.2,Garage rental payments and other rental payments made by tenants (S),"Rental payments for the use of a garage that provides parking and/or storage in connection with a dwelling. The garage or storage facility does not have to be physically contiguous to the dwelling, nor does it have to be leased from the same landlord.; garage rentals in connection with the dwelling; rentals of self-storage units"
04.2.1.0,Imputed rental payments of owner-occupiers for their main residence (S),imputed rentals of owners occupying their main residence
04.2.2.0,Other imputed rentals (S),imputed rentals for secondary residences; imputed garage rentals in connection with the dwelling; imputed rentals of storage units
04.3.1.1,Materials for the maintenance and repair of the dwelling (ND),"products and materials such as paints and varnishes, renderings, wallpapers, fabric wall coverings, windowpanes, plaster, cement, putty, wallpaper pastes and so on, purchased for minor maintenance and repair of dwellings; small plumbing items (pipes, taps, joints, etc.), surfacing materials (floorboards, ceramic tiles, etc.) and brushes and scrapers for paint, varnish and wallpaper; fitted carpets and linoleum; door fittings, power sockets and wiring flex"
04.3.1.2,Security equipment (SD),"small surveillance and security equipment for individual dwellings (smoke detectors, security alarms, and security and surveillance cameras); door phones for dwellings; fire extinguishers"
04.3.2.0,"Services for the maintenance, repair and security of the dwelling (S)","The cost of materials is included only if the materials are not separately priced.; services of plumbers, electricians, carpenters, glaziers, painters, decorators, floor polishers, etc., engaged to carry out minor maintenance and repair of the dwelling; locksmith services; services related to laying of fitted carpets and linoleum;; security services"
04.4.1.1,Water supply delivered through network systems (ND),"all charges usually included in the bills paid by households, including meter installation charges and rentals, and volumetric or fixed charges for consumption of water delivered through mains, except for steam and hot water; associated expenditures, such as meter rentals, cost of meter readings, standing charges and so on"
04.4.1.2,Water supply delivered through other systems (ND),"payment for services provided at a public standpost or fountain and by water vendors (e.g., via tanker truck or cart)"
04.4.2.0,Refuse collection (S),refuse collection and disposal; recycling fees paid by households
