date,ym,lao_pasaxon_body_count,lao_pasaxon_epu_count,lao_pasaxon_ratio,lao_kosmo_body_count,lao_kosmo_epu_count,lao_kosmo_ratio,lao_kpl_body_count,lao_kpl_epu_count,lao_kpl_ratio,lao_the_tian_times_body_count,lao_the_tian_times_epu_count,lao_the_tian_times_ratio,news_total,lao_pasaxon_weights,lao_kosmo_weights,lao_kpl_weights,lao_the_tian_times_weights,lao_pasaxon_z_score,lao_kosmo_z_score,lao_kpl_z_score,lao_the_tian_times_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2018-08-01,2018-8,0.0,0.0,0.0,0.0,0.0,0.0,219,0.0,0.0,12.0,1.0,0.08333333333333333,231.0,0.0,0.0,0.948051948051948,0.05194805194805195,,,,1.967804992556657,1.967804992556657,0.1022236359769692,131.59522135459574,424.12619641651156,131.59522135459574
2018-09-01,2018-9,0.0,0.0,0.0,0.0,0.0,0.0,168,0.0,0.0,21.0,0.0,0.0,189.0,0.0,0.0,0.8888888888888888,0.1111111111111111,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,2018-10,0.0,0.0,0.0,0.0,0.0,0.0,194,0.0,0.0,12.0,1.0,0.08333333333333333,206.0,0.0,0.0,0.941747572815534,0.05825242718446602,,,,1.967804992556657,1.967804992556657,0.11462941704213536,147.5655152083088,424.12619641651156,147.5655152083088
2018-11-01,2018-11,0.0,0.0,0.0,0.0,0.0,0.0,222,0.0,0.0,14.0,0.0,0.0,236.0,0.0,0.0,0.940677966101695,0.059322033898305086,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,2018-12,0.0,0.0,0.0,0.0,0.0,0.0,170,0.0,0.0,7.0,2.0,0.2857142857142857,177.0,0.0,0.0,0.96045197740113,0.03954802259887006,,,,6.746759974479966,6.746759974479966,0.26682101593988566,343.48583201030067,1454.1469591423252,343.48583201030067
2019-01-01,2019-1,0.0,0.0,0.0,0.0,0.0,0.0,86,0.0,0.0,12.0,0.0,0.0,98.0,0.0,0.0,0.8775510204081632,0.12244897959183673,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,2019-2,0.0,0.0,0.0,0.0,0.0,0.0,96,0.0,0.0,13.0,1.0,0.07692307692307693,109.0,0.0,0.0,0.8807339449541285,0.11926605504587157,,,,1.8164353777446065,1.8164353777446065,0.21663908174935675,278.88528562304236,391.5011043844722,278.88528562304236
2019-03-01,2019-3,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,13.0,0.0,0.0,49.0,0.0,0.0,0.7346938775510204,0.2653061224489796,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,2019-4,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,8.0,0.0,0.0,37.0,0.0,0.0,0.7837837837837838,0.21621621621621623,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,2019-5,0.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,4.0,0.0,0.0,99.0,0.0,0.0,0.9595959595959596,0.04040404040404041,,,,0.0,0.0,0.0,0.0,0.0,0.0
