date,ym,lao_pasaxon_body_count,lao_pasaxon_epu_count,lao_pasaxon_ratio,lao_kosmo_body_count,lao_kosmo_epu_count,lao_kosmo_ratio,lao_kpl_body_count,lao_kpl_epu_count,lao_kpl_ratio,lao_the_tian_times_body_count,lao_the_tian_times_epu_count,lao_the_tian_times_ratio,news_total,lao_pasaxon_weights,lao_kosmo_weights,lao_kpl_weights,lao_the_tian_times_weights,lao_pasaxon_z_score,lao_kosmo_z_score,lao_kpl_z_score,lao_the_tian_times_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2015-11-01,2015-11,0.0,0.0,0.0,0.0,0.0,0.0,185,4.0,0.021621621621621623,0.0,0.0,0.0,185.0,0.0,0.0,1.0,0.0,,,1.405261469255234,0.0,0.702630734627617,1.405261469255234,209.49831317460456,112.43724447105727
2015-12-01,2015-12,0.0,0.0,0.0,0.0,0.0,0.0,221,2.0,0.00904977375565611,0.0,0.0,0.0,221.0,0.0,0.0,1.0,0.0,,,0.5881750493489102,0.0,0.2940875246744551,0.5881750493489102,87.68594555950644,47.06083761797646
2016-01-01,2016-1,0.0,0.0,0.0,0.0,0.0,0.0,182,2.0,0.01098901098901099,0.0,0.0,0.0,182.0,0.0,0.0,1.0,0.0,,,0.7142125599236766,0.0,0.3571062799618383,0.7142125599236766,106.47579103654353,57.14530282182855
2016-02-01,2016-2,0.0,0.0,0.0,0.0,0.0,0.0,159,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-3,0.0,0.0,0.0,0.0,0.0,0.0,205,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016-4,0.0,0.0,0.0,0.0,0.0,0.0,129,3.0,0.023255813953488372,0.0,0.0,0.0,129.0,0.0,0.0,1.0,0.0,,,1.5114730919315016,0.0,0.7557365459657508,1.5114730919315016,225.33248800756883,120.9354082973581
2016-05-01,2016-5,0.0,0.0,0.0,0.0,0.0,0.0,215,2.0,0.009302325581395349,0.0,0.0,0.0,215.0,0.0,0.0,1.0,0.0,,,0.6045892367726007,0.0,0.30229461838630034,0.6045892367726007,90.13299520302755,48.37416331894324
2016-06-01,2016-6,0.0,0.0,0.0,0.0,0.0,0.0,185,0.0,0.0,1.0,1.0,1.0,186.0,0.0,0.0,0.9946236559139785,0.005376344086021506,,,0.0,7.843707843169458,3.921853921584729,0.04217047227510461,6.286832024287312,627.5877590164055
2016-07-01,2016-7,0.0,0.0,0.0,0.0,0.0,0.0,190,3.0,0.015789473684210527,93.0,3.0,0.03225806451612903,283.0,0.0,0.0,0.6713780918727915,0.3286219081272085,,,1.0262106782061249,0.25302283365062767,0.6396167559283763,0.7721242133875339,115.10934000893535,102.35354363230087
2016-08-01,2016-8,0.0,0.0,0.0,0.0,0.0,0.0,194,1.0,0.005154639175257732,283.0,8.0,0.028268551236749116,477.0,0.0,0.0,0.40670859538784065,0.5932914046121593,,,0.3350172317167761,0.22173025705072671,0.2783737443837514,0.26780504339289357,39.92474431124734,44.5462676325819
2016-09-01,2016-9,0.0,0.0,0.0,0.0,0.0,0.0,190,1.0,0.005263157894736842,300.0,10.0,0.03333333333333333,490.0,0.0,0.0,0.3877551020408163,0.6122448979591837,,,0.34207022606870824,0.2614569281056486,0.3017635770871784,0.2927151456831615,43.63837663163236,48.28918437135244
2016-10-01,2016-10,0.0,0.0,0.0,0.0,0.0,0.0,153,0.0,0.0,285.0,5.0,0.017543859649122806,438.0,0.0,0.0,0.3493150684931507,0.6506849315068494,,,0.0,0.13760890952928873,0.06880445476464436,0.08954004387179747,13.348752928281279,11.010311561691323
2016-11-01,2016-11,0.0,0.0,0.0,0.0,0.0,0.0,159,0.0,0.0,195.0,8.0,0.041025641025641026,354.0,0.0,0.0,0.4491525423728814,0.5508474576271186,,,0.0,0.3217931422838752,0.1608965711419376,0.1772589343089143,26.42600579700429,25.747190113493556
2016-12-01,2016-12,0.0,0.0,0.0,0.0,0.0,0.0,157,1.0,0.006369426751592357,122.0,3.0,0.02459016393442623,279.0,0.0,0.0,0.5627240143369175,0.43727598566308246,,,0.4139703372806024,0.19287806171728175,0.30342419949894206,0.31729199456115753,47.30232707483076,48.55492254488188
2017-01-01,2017-1,0.0,0.0,0.0,0.0,0.0,0.0,108,1.0,0.009259259259259259,56.0,4.0,0.07142857142857142,164.0,0.0,0.0,0.6585365853658537,0.34146341463414637,,,0.601790212528283,0.5602648459406755,0.5810275292344793,0.5876108190593439,87.60182933167816,92.9779059317337
2017-02-01,2017-2,0.0,0.0,0.0,0.0,0.0,0.0,106,1.0,0.009433962264150943,45.0,1.0,0.022222222222222223,151.0,0.0,0.0,0.7019867549668874,0.2980132450331126,,,0.6131447448401375,0.17430461873709907,0.3937246817886183,0.48236457480943074,71.91157444266823,63.005098010718434
