date,ym,philippines_abc_au_solomon_islands_body_count,philippines_abc_au_solomon_islands_epu_count,philippines_abc_au_solomon_islands_ratio,philippines_asia_news_network_body_count,philippines_asia_news_network_epu_count,philippines_asia_news_network_ratio,philippines_philippine_star_body_count,philippines_philippine_star_epu_count,philippines_philippine_star_ratio,philippines_abante_body_count,philippines_abante_epu_count,philippines_abante_ratio,philippines_inquirer_body_count,philippines_inquirer_epu_count,philippines_inquirer_ratio,news_total,philippines_abc_au_solomon_islands_weights,philippines_asia_news_network_weights,philippines_philippine_star_weights,philippines_abante_weights,philippines_inquirer_weights,philippines_abc_au_solomon_islands_z_score,philippines_asia_news_network_z_score,philippines_philippine_star_z_score,philippines_abante_z_score,philippines_inquirer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2019-01-01,2019-1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281,5.0,0.017793594306049824,286.0,0.017482517482517484,0.0,0.0,0.0,0.9825174825174825,0.0,,,0.0,1.214137541713461,0.404712513904487,1.1929113609142745,73.35813361735782,54.27653579960692
2019-02-01,2019-2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,2.0,0.0078125,262.0,0.022900763358778626,0.0,0.0,0.0,0.9770992366412213,0.0,,,0.0,0.5330822644085664,0.1776940881361888,0.520874273620584,32.03118506040357,23.830791499514913
2019-03-01,2019-3,6.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307,7.0,0.02280130293159609,313.0,0.019169329073482427,0.0,0.0,0.0,0.9808306709265175,1.293042563155152,,,0.0,1.5558361853748388,0.949626249509997,1.5507986079520972,95.36642471790307,127.35564470324218
2019-04-01,2019-4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211,2.0,0.009478672985781991,217.0,0.027649769585253458,0.0,0.0,0.0,0.9723502304147466,0.0,,,0.0,0.6467727947326684,0.21559093157755613,0.6288896759842997,38.67359670887436,28.91318779088066
2019-05-01,2019-5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,4.0,0.01509433962264151,271.0,0.02214022140221402,0.0,0.0,0.0,0.977859778597786,0.0,,,0.0,1.0299551674610792,0.34331838915369306,1.0071517320191363,61.93483753376925,46.04288772736466
2019-06-01,2019-6,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231,6.0,0.025974025974025976,233.0,0.008583690987124463,0.0,0.0,0.0,0.9914163090128756,3.8791276894654563,,,0.0,1.772325450501208,1.8838177133222214,1.7904095898914592,110.10131199051844,252.64130968087073
2019-07-01,2019-7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226,6.0,0.02654867256637168,233.0,0.030042918454935622,0.0,0.0,0.0,0.9699570815450643,0.0,,,0.0,1.8115361905565444,0.6038453968521814,1.7571123565054894,108.05369724239144,80.98251270631616
2019-08-01,2019-8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260,5.0,0.019230769230769232,264.0,0.015151515151515152,0.0,0.0,0.0,0.9848484848484849,0.0,,,0.0,1.312202497005702,0.437400832335234,1.2923206409904642,79.47131141880432,58.660409844959794
2019-09-01,2019-9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234,9.0,0.038461538461538464,242.0,0.03305785123966942,0.0,0.0,0.0,0.9669421487603306,0.0,,,0.0,2.624404994011404,0.874801664670468,2.5376478041267294,156.05275696783391,117.32081968991959
2019-10-01,2019-10,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,6.0,0.026785714285714284,229.0,0.021834061135371178,0.0,0.0,0.0,0.9781659388646288,0.0,,,0.0,1.8277106208293705,0.6092368736097902,1.7878042753964147,109.94109806758604,81.70557085547969
2019-11-01,2019-11,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801,14.0,0.017478152309612985,805.0,0.004968944099378882,0.0,0.0,0.0,0.9950310559006211,0.0,,,0.0,1.192613505393447,0.397537835131149,1.1866874755529826,72.97539552891944,53.31433004635546
2019-12-01,2019-12,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589,19.0,0.03225806451612903,594.0,0.008417508417508417,0.0,0.0,0.0,0.9915824915824916,0.0,,,0.0,2.2011138659450484,0.7337046219816828,2.1825859714505613,134.21821484064725,98.39810683670675
2020-01-01,2020-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665,16.0,0.02406015037593985,666.0,0.0015015015015015015,0.0,0.0,0.0,0.9984984984984985,0.0,,,0.0,1.6417330488853294,0.5472443496284431,1.6392679842473634,100.80685268259141,73.39167066316773
2020-02-01,2020-2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614,9.0,0.014657980456026058,625.0,0.0176,0.0,0.0,0.0,0.9824,0.0,,,0.0,1.000180404883825,0.3333934682946083,0.9825772297578698,60.4236274979453,44.711843334594754
2020-03-01,2020-3,8.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788,25.0,0.031725888324873094,796.0,0.010050251256281407,0.0,0.0,0.0,0.9899497487437185,0.9697819223663641,,,0.0,2.164801073740371,1.044860998702245,2.152790831012994,132.38596144363726,140.12770411902673
2020-04-01,2020-4,6.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755,31.0,0.04105960264900662,761.0,0.00788436268068331,0.0,0.0,0.0,0.9921156373193167,1.293042563155152,,,0.0,2.801682682348598,1.3649084151679167,2.7897880164942475,171.55812978529892,183.04969061700376
2020-05-01,2020-5,7.0,3.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,882,48.0,0.05442176870748299,892.0,0.007847533632286996,0.0,0.0,0.0033632286995515697,0.9887892376681614,3.324966590970391,,,0.0,3.7134438010501496,2.3461367973401805,3.697906052312808,227.4028860636305,314.64353954140887
2020-06-01,2020-6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,778,20.0,0.02570694087403599,879.0,0.004550625711035267,0.0,0.0,0.11035267349260523,0.8850967007963595,0.0,,,0.0,1.7541010242749744,0.5847003414249915,1.5525490294492947,95.4740669604748,78.4149437516172
2020-07-01,2020-7,9.0,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,483.0,1.0,0.002070393374741201,830,16.0,0.01927710843373494,1322.0,0.00680786686838124,0.0,0.0,0.3653555219364599,0.6278366111951589,2.586085126310304,,,3.2625571649076686,1.3153644307334267,2.3880022406504664,2.0354329457609235,125.16903342245244,320.2581700619107
2020-08-01,2020-8,4.0,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,662,14.0,0.021148036253776436,667.0,0.005997001499250375,0.0,0.0,0.0014992503748125937,0.992503748125937,5.818691534198185,,,0.0,1.4430263109065726,2.420572615034919,1.467103724073379,90.21960436240018,324.6262264736814
