date,ym,philippines_abc_au_solomon_islands_body_count,philippines_abc_au_solomon_islands_epu_count,philippines_abc_au_solomon_islands_ratio,philippines_asia_news_network_body_count,philippines_asia_news_network_epu_count,philippines_asia_news_network_ratio,philippines_philippine_star_body_count,philippines_philippine_star_epu_count,philippines_philippine_star_ratio,philippines_abante_body_count,philippines_abante_epu_count,philippines_abante_ratio,philippines_inquirer_body_count,philippines_inquirer_epu_count,philippines_inquirer_ratio,news_total,philippines_abc_au_solomon_islands_weights,philippines_asia_news_network_weights,philippines_philippine_star_weights,philippines_abante_weights,philippines_inquirer_weights,philippines_abc_au_solomon_islands_z_score,philippines_asia_news_network_z_score,philippines_philippine_star_z_score,philippines_abante_z_score,philippines_inquirer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2016-04-01,2016-4,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146,2.0,0.0136986301369863,163.0,0.10429447852760736,0.0,0.0,0.0,0.8957055214723927,0.0,,,,1.6373468788106298,0.8186734394053149,1.4665806399162697,138.05626512407224,111.73377439333923,138.05626512407224
2016-05-01,2016-5,27.0,1.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,6.0,0.03571428571428571,195.0,0.13846153846153847,0.0,0.0,0.0,0.8615384615384616,0.44120262585617837,,,,4.268797219756285,2.3549999228062317,3.738822583677809,351.9532904058801,321.413908654839,351.9532904058801
2016-06-01,2016-6,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139,1.0,0.007194244604316547,157.0,0.11464968152866242,0.0,0.0,0.0,0.8853503184713376,0.0,,,,0.8599015982242877,0.42995079911214384,0.7613141538418853,71.66615036695471,58.68032755909183,71.66615036695471
2016-07-01,2016-7,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151,2.0,0.013245033112582781,173.0,0.12716763005780346,0.0,0.0,0.0,0.8728323699421965,0.0,,,,1.5831300947440528,0.7915650473720264,1.3818071925222657,130.07613419204495,108.03398053925515,130.07613419204495
2016-08-01,2016-8,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169,1.0,0.005917159763313609,189.0,0.10582010582010581,0.0,0.0,0.0,0.8941798941798942,0.0,,,,0.7072563441016331,0.35362817205081654,0.6324144029268571,59.53219898207349,48.263701365170206,59.53219898207349
2016-09-01,2016-9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138,1.0,0.007246376811594203,161.0,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571,0.0,,,,0.866132769225913,0.4330663846129565,0.742399516479354,69.88562489199931,59.10554732401279,69.88562489199931
2016-10-01,2016-10,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,118.0,0.19491525423728814,0.0,0.0,0.0,0.8050847457627118,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,2016-11,9.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,1.0,0.008695652173913044,124.0,0.07258064516129033,0.0,0.0,0.0,0.9274193548387096,1.3236078775685352,,,,1.0393593230710956,1.1814836003198153,1.059990266542684,99.78196444425146,161.2506473197149,99.78196444425146
2016-12-01,2016-12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.0,0.0,119.0,0.10084033613445378,0.0,0.0,0.0,0.8991596638655462,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,2017-1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133,2.0,0.015037593984962405,139.0,0.04316546762589928,0.0,0.0,0.0,0.9568345323741008,0.0,,,,1.797388303055278,0.898694151527639,1.7198031964485754,161.8933180951351,122.655120762613,161.8933180951351
2017-02-01,2017-2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,3.0,0.0125,249.0,0.03614457831325301,0.0,0.0,0.0,0.963855421686747,0.0,,,,1.4940790269147,0.74703951345735,1.4400761705201928,135.56127238086614,101.95706913392206,135.56127238086614
2017-03-01,2017-3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234,3.0,0.01282051282051282,236.0,0.00847457627118644,0.0,0.0,0.0,0.9915254237288136,0.0,,,,1.5323887455535383,0.7661943727767692,1.5194024002522373,143.0286306052359,104.57135295786878,143.0286306052359
2017-04-01,2017-4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185,1.0,0.005405405405405406,190.0,0.02631578947368421,0.0,0.0,0.0,0.9736842105263158,0.0,,,,0.6460882278550054,0.3230441139275027,0.6290859060693474,59.21887161900995,44.0895434092636,59.21887161900995
2017-05-01,2017-5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,4.0,0.020202020202020204,205.0,0.03414634146341464,0.0,0.0,0.0,0.9658536585365853,0.0,,,,2.4146731748116363,1.2073365874058182,2.3322209200619706,219.54313380706125,164.77910163058112,219.54313380706125
2017-06-01,2017-6,22.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,1.0,0.004878048780487805,227.0,0.09691629955947137,0.0,0.0,0.0,0.9030837004405287,0.5414759499144007,,,,0.5830552300154926,0.5622655899649467,0.579025520049748,54.506447537829,76.7388479390715,54.506447537829
2017-07-01,2017-7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,4.0,0.017937219730941704,235.0,0.05106382978723404,0.0,0.0,0.0,0.948936170212766,0.0,,,,2.1439699040928426,1.0719849520464213,2.0344905898412935,191.51635076786195,146.30610817423792,191.51635076786195
