date,ym,philippines_abc_au_solomon_islands_body_count,philippines_abc_au_solomon_islands_epu_count,philippines_abc_au_solomon_islands_ratio,philippines_asia_news_network_body_count,philippines_asia_news_network_epu_count,philippines_asia_news_network_ratio,philippines_philippine_star_body_count,philippines_philippine_star_epu_count,philippines_philippine_star_ratio,philippines_abante_body_count,philippines_abante_epu_count,philippines_abante_ratio,philippines_inquirer_body_count,philippines_inquirer_epu_count,philippines_inquirer_ratio,news_total,philippines_abc_au_solomon_islands_weights,philippines_asia_news_network_weights,philippines_philippine_star_weights,philippines_abante_weights,philippines_inquirer_weights,philippines_abc_au_solomon_islands_z_score,philippines_asia_news_network_z_score,philippines_philippine_star_z_score,philippines_abante_z_score,philippines_inquirer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2016-10-01,2016-10,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,1.0,0.010526315789473684,118.0,0.19491525423728814,0.0,0.0,0.0,0.8050847457627118,0.0,,,,0.9837500082572442,0.4918750041286221,0.7920021252918491,59.27865570399734,55.761134269015585,59.27865570399734
2016-11-01,2016-11,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,4.0,0.034782608695652174,124.0,0.07258064516129033,0.0,0.0,0.0,0.9274193548387096,0.0,,,,3.250652201197851,1.6253261005989255,3.0147177672399423,225.64133461521573,184.25418280196456,225.64133461521573
2016-12-01,2016-12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,1.0,0.009345794392523364,119.0,0.10084033613445378,0.0,0.0,0.0,0.8991596638655462,0.0,,,,0.8734229045274599,0.4367114522637299,0.7853466452473798,58.78051574009821,49.50754911735029,58.78051574009821
2017-01-01,2017-1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133,4.0,0.03007518796992481,139.0,0.04316546762589928,0.0,0.0,0.0,0.9568345323741008,0.0,,,,2.810714309306412,1.405357154653206,2.6893885117823944,201.2915503042212,159.31752648290168,201.2915503042212
2017-02-01,2017-2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,3.0,0.0125,249.0,0.03614457831325301,0.0,0.0,0.0,0.963855421686747,0.0,,,,1.1682031348054778,0.5841015674027389,1.1259789251137136,84.2756791936348,66.21634694445602,84.2756791936348
2017-03-01,2017-3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234,4.0,0.017094017094017096,236.0,0.00847457627118644,0.0,0.0,0.0,0.9915254237288136,0.0,,,,1.5975427484519353,0.7987713742259677,1.5840042505836986,118.55731140799472,90.55226932575182,118.55731140799472
2017-04-01,2017-4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185,2.0,0.010810810810810811,190.0,0.02631578947368421,0.0,0.0,0.0,0.9736842105263158,0.0,,,,1.0103378463182509,0.5051689231591254,0.9837500082572442,73.63033024285986,57.26819195196195,73.63033024285986
2017-05-01,2017-5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,3.0,0.015151515151515152,205.0,0.03414634146341464,0.0,0.0,0.0,0.9658536585365853,0.0,,,,1.4160037997642154,0.7080018998821077,1.3676524505039738,102.36411765470761,80.26223872055276,102.36411765470761
2017-06-01,2017-6,22.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,3.0,0.014634146341463415,227.0,0.09691629955947137,0.0,0.0,0.0,0.9030837004405287,0.48785599433549554,,,,1.3676524505039738,0.9277542224197346,1.2823858336065883,95.98220242406073,105.17433764832097,95.98220242406073
2017-07-01,2017-7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,6.0,0.026905829596412557,235.0,0.05106382978723404,0.0,0.0,0.0,0.948936170212766,0.0,,,,2.514517958325692,1.257258979162846,2.3861170413048054,178.5927159082133,142.52845979075735,178.5927159082133
