date,ym,indonesia_detik_body_count,indonesia_detik_epu_count,indonesia_detik_ratio,indonesia_antara_body_count,indonesia_antara_epu_count,indonesia_antara_ratio,indonesia_abc_au_solomon_islands_body_count,indonesia_abc_au_solomon_islands_epu_count,indonesia_abc_au_solomon_islands_ratio,indonesia_tempo_body_count,indonesia_tempo_epu_count,indonesia_tempo_ratio,indonesia_jakarta_post_body_count,indonesia_jakarta_post_epu_count,indonesia_jakarta_post_ratio,indonesia_rnz_body_count,indonesia_rnz_epu_count,indonesia_rnz_ratio,news_total,indonesia_detik_weights,indonesia_antara_weights,indonesia_abc_au_solomon_islands_weights,indonesia_tempo_weights,indonesia_jakarta_post_weights,indonesia_rnz_weights,indonesia_detik_z_score,indonesia_antara_z_score,indonesia_abc_au_solomon_islands_z_score,indonesia_tempo_z_score,indonesia_jakarta_post_z_score,indonesia_rnz_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2019-06-01,2019-6,0.0,0.0,0.0,0.0,0.0,0.0,13,1.0,0.07692307692307693,420.0,14.0,0.03333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,434.0,0.0,0.0,0.029953917050691243,0.967741935483871,0.0,0.002304147465437788,,,1.1911368494087125,2.1259194554486602,,0.0,1.1056854349524576,2.0930206228819137,246.7545045600182,219.13295962116737,246.7545045600182
2019-07-01,2019-7,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,577.0,18.0,0.03119584055459272,0.0,0.0,0.0,3.0,0.0,0.0,594.0,0.0,0.0,0.02356902356902357,0.9713804713804713,0.0,0.005050505050505051,,,0.0,1.9895953309224894,,0.0,0.6631984436408298,1.9326540504078726,227.84825313267487,131.43759805194128,227.84825313267487
2019-08-01,2019-8,0.0,0.0,0.0,0.0,0.0,0.0,21,3.0,0.14285714285714285,555.0,17.0,0.03063063063063063,0.0,0.0,0.0,16.0,0.0,0.0,592.0,0.0,0.0,0.03547297297297297,0.9375,0.0,0.02702702702702703,,,2.212111291759037,1.9535476077095795,,0.0,1.3885529664895389,1.9099210462935072,225.16816909237653,275.19374997527,225.16816909237653
2019-09-01,2019-9,0.0,0.0,0.0,0.0,0.0,0.0,22,1.0,0.045454545454545456,571.0,10.0,0.017513134851138354,0.0,0.0,0.0,7.0,0.0,0.0,600.0,0.0,0.0,0.03666666666666667,0.9516666666666667,0.0,0.011666666666666667,,,0.703853592832421,1.1169454231779299,,0.0,0.6069330053367836,1.088767692794852,128.35914260922468,120.28649518833345,128.35914260922468
2019-10-01,2019-10,0.0,0.0,0.0,0.0,0.0,0.0,17,1.0,0.058823529411764705,611.0,17.0,0.027823240589198037,0.0,0.0,0.0,16.0,0.0,0.0,644.0,0.0,0.0,0.026397515527950312,0.9487577639751553,0.0,0.024844720496894408,,,0.9108693554301919,1.7744990544661483,,0.0,0.8951228032987801,1.707614443045233,201.31744105463156,177.40209187045303,201.31744105463156
2019-11-01,2019-11,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,543.0,14.0,0.02578268876611418,0.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,0.030357142857142857,0.9696428571428571,0.0,0.0,,,0.0,1.6443575898497924,,0.0,0.5481191966165975,1.594439591586495,187.97480883445678,108.63033733001656,187.97480883445678
2019-12-01,2019-12,0.0,0.0,0.0,0.0,0.0,0.0,17,1.0,0.058823529411764705,514.0,18.0,0.03501945525291829,0.0,0.0,0.0,4.0,0.0,0.0,535.0,0.0,0.0,0.03177570093457944,0.9607476635514018,0.0,0.007476635514018692,,,0.9108693554301919,2.233456237241783,,0.0,1.0481085308906584,2.1747313738029717,256.3877091449738,207.7219407237098,256.3877091449738
2020-01-01,2020-1,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,651.0,15.0,0.02304147465437788,0.0,0.0,0.0,1.0,0.0,0.0,668.0,0.0,0.0,0.023952095808383235,0.9745508982035929,0.0,0.0014970059880239522,,,0.0,1.4695295774990738,,0.0,0.48984319249969127,1.4321313696884688,168.8396486537037,97.08076558623928,168.8396486537037
2020-02-01,2020-2,0.0,0.0,0.0,0.0,0.0,0.0,21,2.0,0.09523809523809523,607.0,19.0,0.03130148270181219,0.0,0.0,0.0,7.0,0.0,0.0,635.0,0.0,0.0,0.03307086614173228,0.9559055118110236,0.0,0.011023622047244094,,,1.4747408611726915,1.9963329318051668,,0.0,1.1570245976592861,1.9570766105360042,230.7275256341596,229.30773656295074,230.7275256341596
2020-03-01,2020-3,0.0,0.0,0.0,0.0,0.0,0.0,20,4.0,0.2,599.0,17.0,0.028380634390651086,0.0,0.0,0.0,3.0,0.0,0.0,622.0,0.0,0.0,0.03215434083601286,0.9630225080385852,0.0,0.00482315112540193,,,3.0969558084626527,1.8100482842718142,,0.0,1.635668030911489,1.8426978110097585,217.24295520006277,324.16885059788586,217.24295520006277
2020-04-01,2020-4,0.0,0.0,0.0,0.0,0.0,0.0,18,6.0,0.3333333333333333,580.0,9.0,0.015517241379310345,0.0,0.0,0.0,6.0,0.0,0.0,604.0,0.0,0.0,0.029801324503311258,0.9602649006622517,0.0,0.009933774834437087,,,5.161593014104421,0.9896521602950659,,0.0,2.050415058133162,1.1041505417632744,130.17268770019382,406.36649985341205,130.17268770019382
2020-05-01,2020-5,0.0,0.0,0.0,0.0,0.0,0.0,17,3.0,0.17647058823529413,454.0,16.0,0.03524229074889868,0.0,0.0,0.0,7.0,0.0,0.0,478.0,0.0,0.0,0.03556485355648536,0.9497907949790795,0.0,0.014644351464435146,,,2.7326080662905756,2.247668146729861,,0.0,1.6600920710068123,2.2319993216366036,263.1392547056666,329.0093884423808,263.1392547056666
2020-06-01,2020-6,0.0,0.0,0.0,0.0,0.0,0.0,16,4.0,0.25,475.0,15.0,0.031578947368421054,0.0,0.0,0.0,1.0,0.0,0.0,492.0,0.0,0.0,0.032520325203252036,0.9654471544715447,0.0,0.0020325203252032522,,,3.8711947605783155,2.0140289577934674,,0.0,1.961741239457261,2.070331038864126,244.0795394871595,388.79246323042224,244.0795394871595
2020-07-01,2020-7,0.0,0.0,0.0,0.0,0.0,0.0,25,4.0,0.16,481.0,13.0,0.02702702702702703,0.0,0.0,0.0,2.0,0.0,0.0,508.0,0.0,0.0,0.04921259842519685,0.9468503937007874,0.0,0.003937007874015748,,,2.477564646770122,1.7237184773908056,,0.0,1.4004277080536427,1.7540309129807687,206.7896628364684,277.5471745401784,206.7896628364684
2020-08-01,2020-8,0.0,0.0,0.0,0.0,0.0,0.0,17,2.0,0.11764705882352941,441.0,7.0,0.015873015873015872,0.0,0.0,0.0,3.0,0.0,0.0,461.0,0.0,0.0,0.0368763557483731,0.9566160520607375,0.0,0.006507592190889371,,,1.8217387108603837,1.0123425978326952,,0.0,0.9446937695643597,1.035602264053894,122.09125929967918,187.2264344960069,122.09125929967918
2020-09-01,2020-9,0.0,0.0,0.0,0.0,0.0,0.0,19,2.0,0.10526315789473684,512.0,29.0,0.056640625,0.0,0.0,0.0,4.0,0.0,0.0,535.0,0.0,0.0,0.03551401869158879,0.9570093457943926,0.0,0.007476635514018692,,,1.6299767412961328,3.612402199688153,,0.0,1.7474596469947619,3.51498969032703,414.3960790868675,346.32454417832463,414.3960790868675
2020-10-01,2020-10,0.0,0.0,0.0,0.0,0.0,0.0,11,1.0,0.09090909090909091,511.0,21.0,0.0410958904109589,0.0,0.0,0.0,3.0,0.0,0.0,525.0,0.0,0.0,0.02095238095238095,0.9733333333333334,0.0,0.005714285714285714,,,1.407707185664842,2.620996588909307,,0.0,1.342901258191383,2.580598163761846,304.236955147992,266.14615503108297,304.236955147992
