,code,title,keywords
39,01.1.6.9,"Fruits and nuts, ground, and in other preparations (ND)","fruit and nut preparations, whether frozen or not fruit flour and nut flour nuts, groundnuts and other seeds, roasted, salted or otherwise prepared canned fruit homogenized fruit preparations fruit pickles"
40,01.1.7.1,"Leafy or stem vegetables, fresh or chilled (ND)","asparagus cabbages cauliflower and broccoli lettuce and chicory spinach artichokes other leafy or stem vegetables, fresh or chilled"
41,01.1.7.2,"Fruit-bearing vegetables, fresh or chilled (ND)","chilies and peppers cucumbers and gherkins eggplants aubergines tomatoes pumpkins squash and gourds other fruit bearing vegetables, fresh or chilled"
42,01.1.7.3,"Green leguminous vegetables, fresh or chilled (ND)","beans peas broad beans and horsebeans, also known as fava beans soya beans other green leguminous vegetables, fresh or chilled"
43,01.1.7.4,"Other vegetables, fresh or chilled (ND)","carrots and turnips garlic onions leeks and other alliaceous vegetables other root, bulb and tuberous vegetables, fresh or chilled mushrooms and truffles seaweeds and other aquatic plants olives other vegetables, fresh or chilled, n e c mixtures of vegetables, fresh or chilled"
44,01.1.7.5,"Tubers, plantains and cooking bananas, fresh or chilled (ND)","all types of potatoes, including sweet potatoes cassava, manioc and yucca yams taro yautia also known as malanga, new cocoyam, ocumo and tannia plantains and cooking bananas arrowroots, lotus roots, jerusalem artichokes topinambur and tacca"
45,01.1.7.6,Pulses (ND),"dried leguminous vegetables, shelled or unshelled, whether broken or not, but not further prepared common beans and other beans broad beans and horsebeans, also known as fava beans chickpeas lentils peas cowpeas pigeon peas bambara beans mixtures of pulses"
46,01.1.7.7,"Other vegetables, tubers, plantains and cooking bananas, dried and dehydrated (ND)","vegetables, other than leguminous tubers plantains and cooking bananas, dried and dehydrated dried soybeans dried potatoes dehydrated garlic and onions"
47,01.1.7.8,"Vegetables, tubers, plantains and cooking bananas, frozen (ND)","vegetables listed in subclasses to , frozen frozen tubers frozen plantains and cooking bananas"
48,01.1.7.9,"Vegetables, tubers, plantains, cooking bananas and pulses, ground, and in other preparations (ND)","preparations of vegetables, tubers, salep, plantains, cooking bananas and pulses, whether frozen or not flours of vegetables, pulses, tubers, plantains and cooking bananas canned vegetables preserved olives, vegetable flakes, vegetable purees and vegetable chips and crisps chipped potatoes, frozen vegetable concentrates homogenized preparations vegetable pickles soy meat and soy burgers, veggie burgers, tofu, tempeh and other meat substitutes made from vegetables and nuts kocho a flatbread made from the starch obtained from the fermentation of the green leaf sheaths green leaf sheaths of the enset plant potato starch, tapioca, sago and other starches"
49,01.1.8.1,Cane sugar and beet sugar (ND),"cane and beet sugar, raw and refined, powdered, crystallized or in lumps"
50,01.1.8.2,Other sugars and sugar substitutes (ND),"sugars other than cane and beet sugar e g , coconut sugar stevia glucose and glucose syrup, and fructose and fructose syrup lactose and lactose syrup invert sugar artificial honey, saccharin and other artificial sweeteners refined cane and beet sugar, in solid form, containing added flavouring or colouring matter maple sugar and maple syrup, caramel, molasses, and sugars and sugar syrups n e c"
51,01.1.8.3,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)","jams, marmalades, compotes, fruit jellies, purees and pastes honey lemon curd and other fruit curd"
52,01.1.8.4,"Nut purées, nut butters and nut pastes (ND)","peanut butter other nut butters, such as almond butter, cashew butter, hazelnut butter, macadamia nut butter, pecan butter, pistachio butter and walnut butter"
53,01.1.8.5,"Chocolate, cocoa and cocoa-based food products (ND)","cocoa including cocoa beans and cocoa powder for all purposes chocolate in bars or slabs chocolate and cocoa based foods and cocoa based desserts chocolate and cocoa based creams and spreads chocolate covered food products, if the product is composed mainly of chocolate"
54,01.1.8.6,"Ice, ice cream and sorbets (ND)",ice cubes for drinks ice cream and kulfi sorbet frozen yoghurt ice pop tofu ice cream
55,01.1.8.9,Other sugar confectionery and desserts n.e.c. (ND),"vegetables, fruit, nuts, fruit peels and other parts of plants, preserved with sugar chewing gum, toffees, lollies, candies, pastilles white chocolate other confectionery products desserts n e c"
