,code,title,keywords
99,09.1.2,Major recreational durables (D),"camper vans, caravans and trailers aeroplanes, microlight aircraft, gliders, hang gliders and hot air balloons boats, yachts, outboard motors, sails, rigging and superstructures vessels for recreation, sailboats, sailboards, water sport boards canoes, kayaks and windsurfing boards sea diving equipment horses and ponies, horse and pony drawn vehicles, camels and dromedaries, and related equipment harnesses, bridles, reins, saddles, etc , purchased for recreational purposes golf carts large garden swimming pools above ground billiard tables, ping pong tables, pinball machines, gaming machines and so on other major recreational durables n e c materials purchased by households with the intention of undertaking maintenance and repairs themselves"
100,09.2.1,"Games, toys and hobby-related articles (SD)","card games, board games, parlour games, chess sets and similar items video game software video game computers that can be plugged into a television set video game cassettes and video game cd roms, video game downloads game applications gamepads, joysticks, racing wheels and other video gaming accessories electronic games toys of all kinds including dolls, soft toys, toy cars and trains, toy bicycles and tricycles, toy construction sets, puzzles, modelling clay, electronic games, masks, disguises, jokes, novelties, fireworks and rockets, and festoons and holiday decorations remote controlled toy cars, ships, planes and aerial vehicles requisites for stamp collecting practised as a hobby used or cancelled postage stamps, stamp albums, etc , other collection items coins, medals, minerals, zoological and botanical specimens, etc and other hobby related articles n e c materials purchased by households with the intention of undertaking maintenance and repair themselves"
101,09.2.2,"Sporting, camping and open-air recreation equipment (SD)","gymnastic, physical education and sporting equipment, such as balls, shuttlecocks, nets, rackets, bats, skis, golf clubs, foils, sabres, poles, javelins and weights, dumb bells, chest expanders and other body building equipment parachutes, paragliders and other skydiving equipment firearms and or ammunition, other weapons, and body armour for hunting, sport and personal protection fishing rods and other fishing equipment equipment for beach and open air games, such as bowls, croquet, flying disc games and volleyball inflatable boats, rafts and swimming pools skateboards, kickboards, smart balance wheels and hover boards camping equipment, such as tents, sleeping bags, backpacks for camping, air mattresses, inflating pumps, camping stoves and gas, barbecues and other camping accessories walking sticks and canes for recreational purposes e g , hiking and tracking game specific footwear ski boots, football boots, golfing shoes and other such footwear fitted with ice skates, rollers, spikes, studs, etc protective sports headgear and other protective sports gear, such as life jackets, boxing gloves, sport gloves, body padding, shin guards, goggles, belts and supports materials purchased by households with the intention of undertaking maintenance and repair themselves global positioning system gps satellite based radionavigation positioning equipment for boating and hiking"
102,09.3.1,"Garden products, plants and flowers (ND)","soil, peat, composts and fertilizers insecticides, pesticides, herbicides and fungicides four outdoor and garden use lawn turf, specially treated soils for ornamental gardens and horticultural preparations pots and pot holders decorative garden materials indoor plants, natural and artificial outdoor plants seeds, bulbs and tubers for planting shrubs indoor flowers, natural and artificial, whether arranged in a vase or not outdoor flowers flower seeds and bulbs natural and artificial flowers and wreaths for decoration of burial places cut flowers flower and plant delivery charges, if not priced separately"
103,09.3.2,Pets and pet products (D),"pets, pet foods, pet veterinary and grooming products, collars, leashes, kennels, birdcages, fish tanks, cat litter feed and veterinary products for animals used for transportation, own consumption or recreation"
111,09.5.1,Musical instruments (D),"musical instruments of all sizes, including electronic musical instruments, such as pianos, organs, violins, guitars, drums, trumpets, clarinets, flutes, recorders and harmonicas replacement parts for musical instruments"
112,09.5.2,Audiovisual media (SD),"recorded tapes, cd roms, dvds, blu ray discs, gramophone records and flash drives, reproducing sound and visual material downloads of music and films"
117,09.7.1,Books (SD),"books in any form, complete or in excerpts, and on any media including electronic formats and as photocopies atlases, dictionaries, encyclopaedias, guidebooks and musical scores reproductions of educational books novels, plays, poetry, etc on any media scrapbooks and albums for children"
118,09.7.2,Newspapers and periodicals (ND),"newspapers, magazines and other periodicals newspapers and periodicals in all electronic formats"
119,09.7.3,Miscellaneous printed matter (ND),"miscellaneous printed matter, including in electronic form catalogues and advertising material posters, picture postcards and calendars greeting cards and visiting cards, announcement cards and message cards maps and globes"
