code,title,keywords
05.4.0,"Glassware, tableware and household utensils (SD)","glassware, crystal ware, ceramic ware and china ware of the kind used for table, kitchen, bathroom or toilet cutlery, flatware and silverware kitchen utensils of all materials, such as saucepans, stewpots, pressure cookers and frying pans household articles of all materials, such as containers for bread, coffee and spices, etc and waste bins, waste paper baskets, laundry baskets, portable money boxes and strongboxes, towel rails, bottle racks, letter boxes, feeding bottles, thermos flasks and iceboxes repair and hire of glassware, tableware and household utensils"
05.5.1,Motorized tools and equipment (D),"electric drills, percussion drills, electric saws and electric sanders garden tractors, chain saws, lawn mowers, lawn clippers, hedge cutters and cultivators water pumps electric screwdrivers"
05.5.2,Non-motorized tools and miscellaneous accessories (SD),"hand tools, such as saws, hammers, screwdrivers, wrenches, spanners, pliers, trimming knives, rasps and files garden tools, such as wheelbarrows, watering cans, hoses, spades, shovels, rakes, forks, scythes, sickles and secateurs ladders and steps fittings for radiators and fireplaces, other household accessories curtain rails, curtain rods, string curtain rods, carpet rods, hooks, etc and garden accessories chains, grids, stakes and hoop segments for fencing and bordering small electric accessories, such as switches, lamp bulbs, fluorescent lighting tubes, torches, flashlights, hand lamps and electric batteries and chargers for general use"
05.5.3,Repair and hire of motorized and non-motorized tools and equipment (S),the cost of materials is included only if the materials are not separately priced repair and hire of motorized tools and equipment repair and hire of non motorized tools and miscellaneous accessories
05.6.1,Non-durable household goods (ND),"detergents, hand and machine dishwashing detergents, scouring powders, disinfectant bleaches, softeners, conditioners and stain removers general purpose cleansers, window cleaning products, unblocking agent and disinfectants floor waxes and polishes polishes, creams and other shoe cleaning items e g , shoe brushes insecticides, pesticides, fungicides and distilled water dustpans, dust brushes and dusters cloths, floor cloths and chamois leathers dish brushes, household sponges, scourers and steel wool filters, tablecloths and table napkins, kitchen papers, baking parchment rolls, kitchen films, aluminium foils and doilies disposable plates, cups and cutlery vacuum cleaner bags candles, lamp wicks, methylated spirits and garbage bags and other single use plastic bags matches, clothes pegs, clothes hangers, pins, safety pins, sewing needles, knitting needles, thimbles, nails, screws, nuts and bolts, tacks, washers, glues and adhesive tapes for household use, string, twine, rubber gloves and gardening gloves pool cleaning chemicals and water treatment chemicals"
05.6.2,Domestic services and household services (S),"domestic services include services provided by personnel employed by households such as butlers, maids, cooks, nannies, governesses, cleaners, au pairs and gardeners , as well as similar household services such as babysitting, gardening and cleaning supplied by enterprises and self employed persons other household services are non routine domestic services typically provided by enterprises and self employed persons, such as carpet cleaning, pest extermination and disinfection domestic services provided by paid staff employed by the household, such as butlers, cooks, maids, drivers, gardeners, governesses, au pairs and nannies similar services, including babysitting and housework, provided by enterprises and self employed persons window cleaning, disinfection, fumigation and pest extermination dry cleaning, laundering and dyeing of household linen, household textiles and carpets shampooing of carpets taking care of a dwelling in the absence of the owner, whether or not occupying the dwelling house sitting ironing of household clothes and linen by housemaids in the family residence"
06.1.1,Medicines (ND),"all medicines, including branded and generic products, used to prevent, diagnose and treat illnesses, diseases and injuries pharmaceutical preparations used to treat illnesses, diseases and injuries e g , extemporaneous ointments, syrups, capsules and other galenic substances prepared on prescription vaccines, hormones, oral contraceptives and other pharmaceutical products used to prevent, diagnose and treat illnesses, diseases and injuries vitamin and mineral supplements fluids required for dialysis, as well as gases used in health care, such as oxygen, when purchased by the patient directly service fees charged by pharmacists for dispensing medicines"
06.1.2,Medical products (ND),"diagnostic equipment for self testing and personal use outside a health facility or institution pregnancy testing kits thermometers, glucose meters, blood pressure meters and other devices used in point of care testing baby scales and so on condoms and other mechanical contraceptive devices, masks, medicinal stockings e g , compression stockings , medicinal gloves, insecticide treated mosquito nets and so on inhalers, syringes, humidifiers, nebulizers, hot bags, ice packs, first aid kits, bandages and so on"
06.1.3,Assistive products (D),"assistive products for vision, hearing, communication, and mobility and daily living, such as corrective eyeglasses spectacles and contact lenses hearing aids and wheelchairs, walking frames walkers and artificial legs"
06.1.4,"Repair, rental and maintenance of medical and assistive products (S)","repair, rental, maintenance and cleaning of medical diagnostic products for personal use and of assistive products for vision, hearing, mobility and daily living e g , rental of medical alarms for in home use"
