date,ym,french_polynesia_tahiti_infos_body_count,french_polynesia_tahiti_infos_epu_count,french_polynesia_tahiti_infos_ratio,news_total,french_polynesia_tahiti_infos_weights,french_polynesia_tahiti_infos_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2021-04-01,2021-4,283,0.0,0.0,283,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,2021-5,304,1.0,0.003289473684210526,304,1.0,2.0518948311092577,2.0518948311092577,2.0518948311092577,319.8360065549809,319.8360065549809,319.8360065549809
2021-06-01,2021-6,287,0.0,0.0,287,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,2021-7,262,0.0,0.0,262,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,2021-8,299,0.0,0.0,299,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,2021-9,278,1.0,0.0035971223021582736,278,1.0,2.243798664234584,2.243798664234584,2.243798664234584,349.74872659249706,349.74872659249706,349.74872659249706
2021-10-01,2021-10,282,0.0,0.0,282,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,2021-11,272,0.0,0.0,272,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,2021-12,249,0.0,0.0,249,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2022-1,253,0.0,0.0,253,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,2022-2,230,1.0,0.004347826086956522,230,1.0,2.712069689813976,2.712069689813976,2.712069689813976,422.7397651857139,422.7397651857139,422.7397651857139
2022-03-01,2022-3,307,0.0,0.0,307,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,2022-4,273,0.0,0.0,273,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,2022-5,287,0.0,0.0,287,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,2022-6,337,0.0,0.0,337,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,2022-7,219,0.0,0.0,219,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,2022-8,253,2.0,0.007905138339920948,253,1.0,4.931035799661774,4.931035799661774,4.931035799661774,768.617754883116,768.617754883116,768.617754883116
2022-09-01,2022-9,244,0.0,0.0,244,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,2022-10,225,0.0,0.0,225,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,2022-11,267,0.0,0.0,267,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,2022-12,268,0.0,0.0,268,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,2023-1,232,0.0,0.0,232,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,2023-2,237,0.0,0.0,237,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,2023-3,244,0.0,0.0,244,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,2023-4,211,0.0,0.0,211,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,2023-5,174,1.0,0.005747126436781609,174,1.0,3.5849197049265196,3.5849197049265196,3.5849197049265196,558.7939424868631,558.7939424868631,558.7939424868631
2023-06-01,2023-6,189,0.0,0.0,189,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,2023-7,191,0.0,0.0,191,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,2023-8,187,0.0,0.0,187,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,2023-9,181,0.0,0.0,181,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,2023-10,209,0.0,0.0,209,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,2023-11,224,0.0,0.0,224,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,2023-12,167,0.0,0.0,167,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,2024-1,219,0.0,0.0,219,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,2024-2,177,1.0,0.005649717514124294,177,1.0,3.5241583539955617,3.5241583539955617,3.5241583539955617,549.3228587158994,549.3228587158994,549.3228587158994
2024-03-01,2024-3,172,0.0,0.0,172,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,2024-4,220,0.0,0.0,220,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,2024-5,192,1.0,0.005208333333333333,192,1.0,3.2488334825896583,3.2488334825896583,3.2488334825896583,506.40701037871975,506.40701037871975,506.40701037871975
2024-06-01,2024-6,197,0.0,0.0,197,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,2024-7,205,0.0,0.0,205,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,2024-8,196,1.0,0.00510204081632653,196,1.0,3.1825307584551754,3.1825307584551754,3.1825307584551754,496.0721734322152,496.0721734322152,496.0721734322152
2024-09-01,2024-9,202,0.0,0.0,202,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,2024-10,254,0.0,0.0,254,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,2024-11,202,0.0,0.0,202,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,2024-12,189,0.0,0.0,189,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,2025-1,181,0.0,0.0,181,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,2025-2,196,0.0,0.0,196,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,2025-3,238,1.0,0.004201680672268907,238,1.0,2.620907683433674,2.620907683433674,2.620907683433674,408.5300251794714,408.5300251794714,408.5300251794714
2025-04-01,2025-4,202,1.0,0.0049504950495049506,202,1.0,3.0880001418673984,3.0880001418673984,3.0880001418673984,481.33735639957524,481.33735639957524,481.33735639957524
2025-05-01,2025-5,176,0.0,0.0,176,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-01,2025-6,186,0.0,0.0,186,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01,2025-7,234,0.0,0.0,234,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-01,2025-8,213,0.0,0.0,213,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-01,2025-9,235,0.0,0.0,235,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-01,2025-10,288,1.0,0.003472222222222222,288,1.0,2.1658889883931054,2.1658889883931054,2.1658889883931054,337.60467358581315,337.60467358581315,337.60467358581315
2025-11-01,2025-11,197,1.0,0.005076142131979695,197,1.0,3.16637577998586,3.16637577998586,3.16637577998586,493.5540405721532,493.5540405721532,493.5540405721532
2025-12-01,2025-12,184,0.0,0.0,184,1.0,0.0,0.0,0.0,0.0,0.0,0.0
