date,ym,french_polynesia_tahiti_infos_body_count,french_polynesia_tahiti_infos_epu_count,french_polynesia_tahiti_infos_ratio,news_total,french_polynesia_tahiti_infos_weights,french_polynesia_tahiti_infos_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2016-03-01,2016-3,403,2.0,0.004962779156327543,403,1.0,0.717413441909192,0.717413441909192,0.717413441909192,41.44168988824173,41.44168988824173
2016-04-01,2016-4,393,2.0,0.005089058524173028,393,1.0,0.7356682368687135,0.7356682368687135,0.7356682368687135,42.496185814151204,42.496185814151204
2016-05-01,2016-5,344,6.0,0.01744186046511628,344,1.0,2.521374567640154,2.521374567640154,2.521374567640154,145.6482647525705,145.6482647525705
2016-06-01,2016-6,404,2.0,0.0049504950495049506,404,1.0,0.7156376660628821,0.7156376660628821,0.7156376660628821,41.33911144792431,41.33911144792431
2016-07-01,2016-7,336,8.0,0.023809523809523808,336,1.0,3.4418763939214805,3.4418763939214805,3.4418763939214805,198.82144077335022,198.82144077335022
2016-08-01,2016-8,345,4.0,0.011594202898550725,345,1.0,1.6760441570400253,1.6760441570400253,1.6760441570400253,96.81739724615315,96.81739724615315
2016-09-01,2016-9,380,7.0,0.018421052631578946,380,1.0,2.662925420560303,2.662925420560303,2.662925420560303,153.82500944043412,153.82500944043412
2016-10-01,2016-10,386,6.0,0.015544041450777202,386,1.0,2.2470281120938163,2.2470281120938163,2.2470281120938163,129.80052610073642,129.80052610073642
2016-11-01,2016-11,361,3.0,0.008310249307479225,361,1.0,1.2013197385986332,1.2013197385986332,1.2013197385986332,69.39474110094773,69.39474110094773
2016-12-01,2016-12,346,2.0,0.005780346820809248,346,1.0,0.8356000493913421,0.8356000493913421,0.8356000493913421,48.268789089483874,48.268789089483874
2017-01-01,2017-1,350,11.0,0.03142857142857143,350,1.0,4.543276839976355,4.543276839976355,4.543276839976355,262.4443018208223,262.4443018208223
2017-02-01,2017-2,386,6.0,0.015544041450777202,386,1.0,2.2470281120938163,2.2470281120938163,2.2470281120938163,129.80052610073642,129.80052610073642
2017-03-01,2017-3,427,7.0,0.01639344262295082,427,1.0,2.369816533519708,2.369816533519708,2.369816533519708,136.89345102427393,136.89345102427393
2017-04-01,2017-4,307,6.0,0.019543973941368076,307,1.0,2.8252535871928766,2.8252535871928766,2.8252535871928766,163.20196441330378,163.20196441330378
2017-05-01,2017-5,356,4.0,0.011235955056179775,356,1.0,1.6242562757831707,1.6242562757831707,1.6242562757831707,93.82584845483944,93.82584845483944
2017-06-01,2017-6,320,2.0,0.00625,320,1.0,0.9034925534043887,0.9034925534043887,0.9034925534043887,52.190628203004444,52.190628203004444
2017-07-01,2017-7,286,4.0,0.013986013986013986,286,1.0,2.021801518107723,2.021801518107723,2.021801518107723,116.79021695777217,116.79021695777217
2017-08-01,2017-8,322,2.0,0.006211180124223602,322,1.0,0.8978807984142992,0.8978807984142992,0.8978807984142992,51.86646281043919,51.86646281043919
2017-09-01,2017-9,307,3.0,0.009771986970684038,307,1.0,1.4126267935964383,1.4126267935964383,1.4126267935964383,81.60098220665189,81.60098220665189
2017-10-01,2017-10,322,4.0,0.012422360248447204,322,1.0,1.7957615968285985,1.7957615968285985,1.7957615968285985,103.73292562087838,103.73292562087838
2017-11-01,2017-11,304,1.0,0.003289473684210526,304,1.0,0.4755223965286256,0.4755223965286256,0.4755223965286256,27.46875168579181,27.46875168579181
2017-12-01,2017-12,300,2.0,0.006666666666666667,300,1.0,0.9637253902980146,0.9637253902980146,0.9637253902980146,55.67000341653807,55.67000341653807
2018-01-01,2018-1,311,5.0,0.01607717041800643,311,1.0,2.3240966003971413,2.3240966003971413,2.3240966003971413,134.2524198148024,134.2524198148024
2018-02-01,2018-2,313,3.0,0.009584664536741214,313,1.0,1.3855476857319697,1.3855476857319697,1.3855476857319697,80.03674612601318,80.03674612601318
2018-03-01,2018-3,318,3.0,0.009433962264150943,318,1.0,1.3637623447613414,1.3637623447613414,1.3637623447613414,78.77830672151613,78.77830672151613
2018-04-01,2018-4,251,0.0,0.0,251,1.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,2018-5,271,1.0,0.0036900369003690036,271,1.0,0.5334273378033291,0.5334273378033291,0.5334273378033291,30.813655027604096,30.813655027604096
2018-06-01,2018-6,304,0.0,0.0,304,1.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,2018-7,350,1.0,0.002857142857142857,350,1.0,0.4130251672705777,0.4130251672705777,0.4130251672705777,23.85857289280203,23.85857289280203
2018-08-01,2018-8,279,0.0,0.0,279,1.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,2018-9,312,2.0,0.00641025641025641,312,1.0,0.9266590291327063,0.9266590291327063,0.9266590291327063,53.52884943897891,53.52884943897891
2018-10-01,2018-10,370,4.0,0.010810810810810811,370,1.0,1.5627979302129966,1.5627979302129966,1.5627979302129966,90.27568121600767,90.27568121600767
2018-11-01,2018-11,315,2.0,0.006349206349206349,315,1.0,0.9178337050457281,0.9178337050457281,0.9178337050457281,53.019050872893395,53.019050872893395
2018-12-01,2018-12,256,3.0,0.01171875,256,1.0,1.6940485376332288,1.6940485376332288,1.6940485376332288,97.85742788063332,97.85742788063332
2019-01-01,2019-1,259,2.0,0.007722007722007722,259,1.0,1.1162842358664262,1.1162842358664262,1.1162842358664262,64.48262944000548,64.48262944000548
2019-02-01,2019-2,291,2.0,0.006872852233676976,291,1.0,0.9935313302041388,0.9935313302041388,0.9935313302041388,57.39175609952378,57.39175609952378
2019-03-01,2019-3,311,4.0,0.012861736334405145,311,1.0,1.859277280317713,1.859277280317713,1.859277280317713,107.40193585184194,107.40193585184194
2019-04-01,2019-4,272,4.0,0.014705882352941176,272,1.0,2.125864831539738,2.125864831539738,2.125864831539738,122.80147812471631,122.80147812471631
2019-05-01,2019-5,305,4.0,0.013114754098360656,305,1.0,1.8958532268157664,1.8958532268157664,1.8958532268157664,109.51476081941915,109.51476081941915
2019-06-01,2019-6,282,2.0,0.0070921985815602835,282,1.0,1.0252397769127815,1.0252397769127815,1.0252397769127815,59.223407889934116,59.223407889934116
2019-07-01,2019-7,314,1.0,0.0031847133757961785,314,1.0,0.46037837116147196,0.46037837116147196,0.46037837116147196,26.59395067669016,26.59395067669016
2019-08-01,2019-8,258,3.0,0.011627906976744186,258,1.0,1.6809163784267696,1.6809163784267696,1.6809163784267696,97.09884316838034,97.09884316838034
2019-09-01,2019-9,254,5.0,0.01968503937007874,254,1.0,2.8456458374941374,2.8456458374941374,2.8456458374941374,164.37993134804546,164.37993134804546
2019-10-01,2019-10,270,4.0,0.014814814814814815,270,1.0,2.1416119784400327,2.1416119784400327,2.1416119784400327,123.71111870341794,123.71111870341794
2019-11-01,2019-11,242,4.0,0.01652892561983471,242,1.0,2.389401794127309,2.389401794127309,2.389401794127309,138.02480185918532,138.02480185918532
2019-12-01,2019-12,226,1.0,0.004424778761061947,226,1.0,0.6396407457730185,0.6396407457730185,0.6396407457730185,36.94911731186155,36.94911731186155
2020-01-01,2020-1,225,4.0,0.017777777777777778,225,1.0,2.5699343741280387,2.5699343741280387,2.5699343741280387,148.4533424441015,148.4533424441015
2020-02-01,2020-2,249,7.0,0.028112449799196786,249,1.0,4.06390224824464,4.06390224824464,4.06390224824464,234.753026455281,234.753026455281
2020-03-01,2020-3,298,6.0,0.020134228187919462,298,1.0,2.9105800378127955,2.9105800378127955,2.9105800378127955,168.13088280162503,168.13088280162503
2020-04-01,2020-4,260,8.0,0.03076923076923077,260,1.0,4.44796333983699,4.44796333983699,4.44796333983699,256.93847730709876,256.93847730709876
2020-05-01,2020-5,282,6.0,0.02127659574468085,282,1.0,3.075719330738344,3.075719330738344,3.075719330738344,177.6702236698023,177.6702236698023
2020-06-01,2020-6,283,4.0,0.014134275618374558,283,1.0,2.04323404303466,2.04323404303466,2.04323404303466,118.02827579478036,118.02827579478036
2020-07-01,2020-7,307,2.0,0.006514657980456026,307,1.0,0.9417511957309589,0.9417511957309589,0.9417511957309589,54.400654804434595,54.400654804434595
2020-08-01,2020-8,279,5.0,0.017921146953405017,279,1.0,2.5906596513387488,2.5906596513387488,2.5906596513387488,149.6505468186507,149.6505468186507
2020-09-01,2020-9,320,4.0,0.0125,320,1.0,1.8069851068087774,1.8069851068087774,1.8069851068087774,104.38125640600889,104.38125640600889
2020-10-01,2020-10,279,5.0,0.017921146953405017,279,1.0,2.5906596513387488,2.5906596513387488,2.5906596513387488,149.6505468186507,149.6505468186507
2020-11-01,2020-11,265,4.0,0.01509433962264151,265,1.0,2.1820197516181463,2.1820197516181463,2.1820197516181463,126.04529075442582,126.04529075442582
2020-12-01,2020-12,303,3.0,0.009900990099009901,303,1.0,1.4312753321257643,1.4312753321257643,1.4312753321257643,82.67822289584862,82.67822289584862
2021-01-01,2021-1,269,0.0,0.0,269,1.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,2021-2,294,2.0,0.006802721088435374,294,1.0,0.9833932554061373,0.9833932554061373,0.9833932554061373,56.806125935242925,56.806125935242925
2021-03-01,2021-3,366,6.0,0.01639344262295082,366,1.0,2.369816533519708,2.369816533519708,2.369816533519708,136.89345102427393,136.89345102427393
2021-04-01,2021-4,283,1.0,0.0035335689045936395,283,1.0,0.510808510758665,0.510808510758665,0.510808510758665,29.50706894869509,29.50706894869509
2021-05-01,2021-5,304,3.0,0.009868421052631578,304,1.0,1.4265671895858767,1.4265671895858767,1.4265671895858767,82.40625505737542,82.40625505737542
2021-06-01,2021-6,287,0.0,0.0,287,1.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,2021-7,262,4.0,0.015267175572519083,262,1.0,2.20700471060614,2.20700471060614,2.20700471060614,127.48855744245358,127.48855744245358
2021-08-01,2021-8,299,4.0,0.013377926421404682,299,1.0,1.9338971042769524,1.9338971042769524,1.9338971042769524,111.71238143786903,111.71238143786903
2021-09-01,2021-9,278,5.0,0.017985611510791366,278,1.0,2.599978570947881,2.599978570947881,2.599978570947881,150.18885813814228,150.18885813814228
2021-10-01,2021-10,282,5.0,0.01773049645390071,282,1.0,2.563099442281954,2.563099442281954,2.563099442281954,148.0585197248353,148.0585197248353
2021-11-01,2021-11,272,3.0,0.011029411764705883,272,1.0,1.5943986236548036,1.5943986236548036,1.5943986236548036,92.10110859353725,92.10110859353725
2021-12-01,2021-12,249,6.0,0.024096385542168676,249,1.0,3.4833447842096916,3.4833447842096916,3.4833447842096916,201.21687981881232,201.21687981881232
2022-01-01,2022-1,253,2.0,0.007905138339920948,253,1.0,1.1427573798000172,1.1427573798000172,1.1427573798000172,66.01186175874079,66.01186175874079
2022-02-01,2022-2,230,2.0,0.008695652173913044,230,1.0,1.2570331177800191,1.2570331177800191,1.2570331177800191,72.61304793461488,72.61304793461488
2022-03-01,2022-3,307,7.0,0.02280130293159609,307,1.0,3.296129185058356,3.296129185058356,3.296129185058356,190.40229181552107,190.40229181552107
2022-04-01,2022-4,273,3.0,0.01098901098901099,273,1.0,1.5885583356560682,1.5885583356560682,1.5885583356560682,91.76374189539243,91.76374189539243
2022-05-01,2022-5,287,1.0,0.003484320557491289,287,1.0,0.5036892283787533,0.5036892283787533,0.5036892283787533,29.095820600978087,29.095820600978087
2022-06-01,2022-6,337,4.0,0.011869436201780416,337,1.0,1.7158315554267323,1.7158315554267323,1.7158315554267323,99.11573308582446,99.11573308582446
2022-07-01,2022-7,219,2.0,0.0091324200913242,219,1.0,1.3201717675315268,1.3201717675315268,1.3201717675315268,76.26027865279187,76.26027865279187
2022-08-01,2022-8,253,7.0,0.02766798418972332,253,1.0,3.9996508293000606,3.9996508293000606,3.9996508293000606,231.04151615559277,231.04151615559277
2022-09-01,2022-9,244,4.0,0.01639344262295082,244,1.0,2.369816533519708,2.369816533519708,2.369816533519708,136.89345102427393,136.89345102427393
2022-10-01,2022-10,225,4.0,0.017777777777777778,225,1.0,2.5699343741280387,2.5699343741280387,2.5699343741280387,148.4533424441015,148.4533424441015
2022-11-01,2022-11,267,3.0,0.011235955056179775,267,1.0,1.6242562757831707,1.6242562757831707,1.6242562757831707,93.82584845483944,93.82584845483944
2022-12-01,2022-12,268,4.0,0.014925373134328358,268,1.0,2.1575941573836146,2.1575941573836146,2.1575941573836146,124.63433600717477,124.63433600717477
2023-01-01,2023-1,232,5.0,0.021551724137931036,232,1.0,3.1154915634634093,3.1154915634634093,3.1154915634634093,179.967683458636,179.967683458636
2023-02-01,2023-2,237,3.0,0.012658227848101266,237,1.0,1.8298583360088885,1.8298583360088885,1.8298583360088885,105.70253813266721,105.70253813266721
2023-03-01,2023-3,244,1.0,0.004098360655737705,244,1.0,0.592454133379927,0.592454133379927,0.592454133379927,34.22336275606848,34.22336275606848
2023-04-01,2023-4,211,1.0,0.004739336492890996,211,1.0,0.6851128367047498,0.6851128367047498,0.6851128367047498,39.57583181270479,39.57583181270479
2023-05-01,2023-5,174,4.0,0.022988505747126436,174,1.0,3.3231910010276366,3.3231910010276366,3.3231910010276366,191.96552902254507,191.96552902254507
2023-06-01,2023-6,189,2.0,0.010582010582010581,189,1.0,1.5297228417428803,1.5297228417428803,1.5297228417428803,88.36508478815566,88.36508478815566
2023-07-01,2023-7,191,4.0,0.020942408376963352,191,1.0,3.0274096030304123,3.0274096030304123,3.0274096030304123,174.87959188441278,174.87959188441278
2023-08-01,2023-8,187,3.0,0.016042780748663103,187,1.0,2.3191252707706234,2.3191252707706234,2.3191252707706234,133.9652488633269,133.9652488633269
2023-09-01,2023-9,181,2.0,0.011049723756906077,181,1.0,1.597334901046433,1.597334901046433,1.597334901046433,92.27072389481448,92.27072389481448
2023-10-01,2023-10,209,5.0,0.023923444976076555,209,1.0,3.458344702026368,3.458344702026368,3.458344702026368,199.77273953303134,199.77273953303134
2023-11-01,2023-11,224,4.0,0.017857142857142856,224,1.0,2.5814072954411103,2.5814072954411103,2.5814072954411103,149.11608058001266,149.11608058001266
